file|algorithm|nLevels|rules_per_level
artificial-fib41|GCX-y32|4|6:31-0,5:30-33,4:9-933,3:9-6247,2:32-3557
artificial-fib41|GCX-y2|1|3:2-0,2:2-4
artificial-fib41|GCX-y4|13|15:3-0,14:2-6,13:2-9,12:2-15,11:2-27,10:2-51,9:2-99,8:2-195,7:2-387,6:2-771,5:2-1539,4:2-3075,3:2-6147,2:4-11647
artificial-fib41|GC2|15|15:2-4,14:2-6,13:2-10,12:2-19,11:2-35,10:2-67,9:2-131,8:2-259,7:2-515,6:2-1027,5:2-2051,4:2-4099,3:2-8195,2:2-11296,1:2-8178
artificial-fib41|GC4|8|8:4-6,7:4-18,6:4-67,5:4-258,4:4-1026,3:4-4099,2:4-11295,1:4-4089
artificial-fib41|GC8|5|5:8-10,4:8-67,3:8-514,2:8-4098,1:8-8177
artificial-fib41|GC16|4|4:16-18,3:16-258,2:16-4098,1:16-4089
artificial-fib41|GC32|3|3:32-34,2:32-1026,1:32-8177
artificial-fib41|GC64|3|3:64-66,2:64-4098,1:64-1023
artificial-fib41|GC128|3|3:128-130,2:128-11295,1:128-128
