file|algorithm|coverage|nLevels|rules_per_level
artificial-rs.13|GCX-y32|-|4|6:31-0,5:30-64,4:5-1862,3:5-5980,2:32-9323
artificial-rs.13|GCX-y2|-|1|3:2-0,2:2-5
artificial-rs.13|GCX-y4|-|13|15:3-0,14:2-8,13:2-14,12:2-26,11:2-50,10:2-98,9:2-194,8:2-386,7:2-770,6:2-1538,5:2-3074,4:2-6146,3:2-11882,2:4-13650
artificial-rs.13|GC2|2|15|15:5,14:10,13:18,12:34,11:66,10:130,9:258,8:514,7:1026,6:2050,5:4098,4:8194,3:13851,2:11743,1:6616
artificial-rs.13|GC4|4|8|8:9,7:33,6:129,5:514,4:2049,3:8194,2:11742,1:3308
artificial-rs.13|GC8|8|5|5:17,4:129,3:1025,2:8193,1:6615
artificial-rs.13|GC16|16|4|4:33,3:513,2:8193,1:3308
artificial-rs.13|GC32|32|3|3:65,2:2049,1:6615
artificial-rs.13|GC64|64|3|3:129,2:8193,1:827
artificial-rs.13|GC128|128|3|3:257,2:11742,1:104
