file|algorithm|nLevels|rules_per_level
pseudo-real-dblp.xml.0001.2|GCX-y32|2|4:31-0,3:31-834419,2:32-109114
pseudo-real-dblp.xml.0001.2|GCX-y2|1|3:2-0,2:2-3623
pseudo-real-dblp.xml.0001.2|GCX-y4|10|12:3-0,11:2-30959,10:2-110560,9:2-123853,8:2-109697,7:2-84026,6:2-62186,5:2-45806,4:2-36810,3:2-31166,2:4-26313
pseudo-real-dblp.xml.0001.2|GC2|17|17:2-3623,16:2-37094,15:2-50081,14:2-44263,13:2-34662,12:2-25785,11:2-18421,10:2-14274,9:2-12092,8:2-10824,7:2-9843,6:2-8757,5:2-7201,4:2-5161,3:2-3095,2:2-1600,1:2-801
pseudo-real-dblp.xml.0001.2|GC4|9|9:4-37094,8:4-44263,7:4-25785,6:4-14274,5:4-10824,4:4-8757,3:4-5161,2:4-1600,1:4-401
pseudo-real-dblp.xml.0001.2|GC8|6|6:8-50081,5:8-25785,4:8-12092,3:8-8757,2:8-3095,1:8-401
pseudo-real-dblp.xml.0001.2|GC16|5|5:16-44263,4:16-14274,3:16-8757,2:16-1600,1:16-101
pseudo-real-dblp.xml.0001.2|GC32|4|4:32-34662,3:32-10824,2:32-3095,1:32-101
pseudo-real-dblp.xml.0001.2|GC64|3|3:64-25785,2:64-8757,1:64-401
pseudo-real-dblp.xml.0001.2|GC128|3|3:128-18421,2:128-5161,1:128-51
