file|algorithm|coverage|nLevels|rules_per_level
pseudo-real-proteins.001.1|GCX-y32|-|3|5:31-0,4:7-740634,3:7-433689,2:32-69018
pseudo-real-proteins.001.1|GCX-y2|-|1|3:2-0,2:2-420
pseudo-real-proteins.001.1|GCX-y4|-|10|12:3-0,11:2-8059,10:2-450789,9:2-313926,8:2-220918,7:2-163587,6:2-130950,5:2-110619,4:2-94364,3:2-76443,2:4-55108
pseudo-real-proteins.001.1|GC2|2|14|14:420,13:108018,12:218879,11:164217,10:133732,9:116403,8:105325,7:95432,6:83223,5:66018,4:44645,3:25189,2:12798,1:6401
pseudo-real-proteins.001.1|GC4|4|7|7:108018,6:164217,5:116403,4:95432,3:66018,2:25189,1:6401
pseudo-real-proteins.001.1|GC8|8|5|5:218879,4:116403,3:83223,2:25189,1:3201
pseudo-real-proteins.001.1|GC16|16|4|4:164217,3:95432,2:25189,1:1601
pseudo-real-proteins.001.1|GC32|32|3|3:133732,2:66018,1:3201
pseudo-real-proteins.001.1|GC64|64|3|3:116403,2:25189,1:401
pseudo-real-proteins.001.1|GC128|128|2|2:105325,1:6401
