file|algorithm|coverage|nLevels|rules_per_level
real-cere|GCX-y32|-|5|7:19-0,6:15-10753108,5:10-1476109,4:2-156277,3:2-79387,2:32-40195
real-cere|GCX-y2|-|1|3:2-0,2:2-26
real-cere|GCX-y4|-|12|14:3-0,13:2-127,12:2-6992,11:2-6749267,10:2-9837477,9:2-6697959,8:2-3943020,7:2-2135961,6:2-1106575,5:2-564123,4:2-286072,3:2-145192,2:4-73758
real-cere|GC2|2|15|15:26,14:584,13:73798,12:11174769,11:8563908,10:5452125,9:3080240,8:1632879,7:838634,6:425523,5:215893,4:109653,3:55659,2:28088,1:14079
real-cere|GC4|4|8|8:584,7:11174768,6:5452125,5:1632879,4:425522,3:109653,2:28088,1:7040
real-cere|GC8|8|5|5:73797,4:5452124,3:838633,2:109652,1:14078
real-cere|GC16|16|4|4:11174768,3:1632879,2:109652,1:7039
real-cere|GC32|32|3|3:8563907,2:425522,1:14078
real-cere|GC64|64|3|3:5452124,2:109652,1:1760
real-cere|GC128|128|3|3:3080239,2:28087,1:220
