file|algorithm|peak|stack|time|substring_size
real-einstein.en.txt|GCX-y32|33861624|6291456|0,006600034000000|1
real-einstein.en.txt|GCX-y32|33861624|6291456|0,006573793000000|10
real-einstein.en.txt|GCX-y32|33861624|6291456|0,007607382000000|100
real-einstein.en.txt|GCX-y32|33861624|6291456|0,027327383000000|1000
real-einstein.en.txt|GCX-y32|33861624|6291456|0,215239460000000|10000
real-einstein.en.txt|GCX-y2|848031525|6291456|0,002562436000000|1
real-einstein.en.txt|GCX-y2|848031525|6291456|0,002313860000000|10
real-einstein.en.txt|GCX-y2|848031525|6291456|0,004515568000000|100
real-einstein.en.txt|GCX-y2|848031525|6291456|0,023137482000000|1000
real-einstein.en.txt|GCX-y2|848031525|6291456|0,188604773000000|10000
real-einstein.en.txt|GCX-y4|18302632|6291456|0,016727746000000|1
real-einstein.en.txt|GCX-y4|18302632|6291456|0,015892588000000|10
real-einstein.en.txt|GCX-y4|18302632|6291456|0,020194390000000|100
real-einstein.en.txt|GCX-y4|18302632|6291456|0,069195434000000|1000
real-einstein.en.txt|GCX-y4|18302632|6291456|0,419069871000000|10000
real-einstein.en.txt|GC2|18322769|6291456|0,000040373000000|1
real-einstein.en.txt|GC4|17929073|6291456|0,000023749000000|1
real-einstein.en.txt|GC8|22397213|6291456|0,000027499000000|1
real-einstein.en.txt|GC16|31624481|6291456|0,000023708000000|1
real-einstein.en.txt|GC32|41299925|6291456|0,000013794000000|1
real-einstein.en.txt|GC64|45464569|6291456|0,000027499000000|1
real-einstein.en.txt|GC128|73526145|6291456|0,000019874000000|1
real-einstein.en.txt|GC2|18322769|6291456|0,000029293000000|10
real-einstein.en.txt|GC4|17929073|6291456|0,000026749000000|10
real-einstein.en.txt|GC8|22397213|6291456|0,000037958000000|10
real-einstein.en.txt|GC16|31624481|6291456|0,000011916000000|10
real-einstein.en.txt|GC32|41299925|6291456|0,000020875000000|10
real-einstein.en.txt|GC64|45464569|6291456|0,000011541000000|10
real-einstein.en.txt|GC128|73526145|6291456|0,000011666000000|10
real-einstein.en.txt|GC2|18322769|6291456|0,000076960000000|100
real-einstein.en.txt|GC4|17929073|6291456|0,000058040000000|100
real-einstein.en.txt|GC8|22397213|6291456|0,000055333000000|100
real-einstein.en.txt|GC16|31624481|6291456|0,000044085000000|100
real-einstein.en.txt|GC32|41299925|6291456|0,000028290000000|100
real-einstein.en.txt|GC64|45464569|6291456|0,000016124000000|100
real-einstein.en.txt|GC128|73526145|6291456|0,000018289000000|100
real-einstein.en.txt|GC2|18322769|6291456|0,000306377000000|1000
real-einstein.en.txt|GC4|17929073|6291456|0,000204416000000|1000
real-einstein.en.txt|GC8|22397213|6291456|0,000086586000000|1000
real-einstein.en.txt|GC16|31624481|6291456|0,000078540000000|1000
real-einstein.en.txt|GC32|41299925|6291456|0,000114959000000|1000
real-einstein.en.txt|GC64|45464569|6291456|0,000052833000000|1000
real-einstein.en.txt|GC128|73526145|6291456|0,000057209000000|1000
real-einstein.en.txt|GC2|18322769|6291456|0,001899250000000|10000
real-einstein.en.txt|GC4|17929073|6291456|0,000739165000000|10000
real-einstein.en.txt|GC8|22397213|6291456|0,000634625000000|10000
real-einstein.en.txt|GC16|31624481|6291456|0,000535415000000|10000
real-einstein.en.txt|GC32|41299925|6291456|0,000723085000000|10000
real-einstein.en.txt|GC64|45464569|6291456|0,000519834000000|10000
real-einstein.en.txt|GC128|73526145|6291456|0,000566501000000|10000
