file|algorithm|coverage|nLevels|rules_per_level
real-einstein.en.txt|GCX-y32|-|5|7:31-0,6:16-343141,5:6-500062,4:3-150291,3:3-52059,2:32-17450
real-einstein.en.txt|GCX-y2|-|1|3:2-0,2:2-4168
real-einstein.en.txt|GCX-y4|-|12|14:3-0,13:2-23065,12:2-134755,11:2-255665,10:2-320144,9:2-387613,8:2-467028,7:2-533048,6:2-526119,5:2-422468,4:2-266629,3:2-145732,2:4-75157
real-einstein.en.txt|GC2|2|17|17:4168,16:56338,15:193298,14:286991,13:346510,12:420995,11:499274,10:540925,9:494456,8:357418,7:210654,6:111321,5:56648,4:28475,3:14260,2:7136,1:3569
real-einstein.en.txt|GC4|4|9|9:56338,8:286991,7:420995,6:540924,5:357417,4:111320,3:28474,2:7135,1:1785
real-einstein.en.txt|GC8|8|6|6:193298,5:420994,4:494455,3:111320,2:14259,1:1784
real-einstein.en.txt|GC16|16|5|5:286991,4:540924,3:111320,2:7135,1:447
real-einstein.en.txt|GC32|32|4|4:346509,3:357417,2:14259,1:446
real-einstein.en.txt|GC64|64|3|3:420994,2:111320,1:1784
real-einstein.en.txt|GC128|128|3|3:499273,2:28474,1:223
