file|algorithm|nLevels|rules_per_level
real-influenza|GCX-y32|4|6:28-0,5:4-1156625,4:2-943904,3:2-600179,2:32-332140
real-influenza|GCX-y2|1|3:2-0,2:2-111
real-influenza|GCX-y4|7|9:3-0,8:2-469,7:2-8959,6:2-641196,5:2-1077796,4:2-1227899,3:2-1014451,2:4-673338
real-influenza|GC2|12|12:2-111,11:2-1667,10:2-68375,9:2-858241,8:2-1206818,7:2-1181171,6:2-879485,5:2-540621,4:2-293518,3:2-150409,2:2-75578,1:2-37797
real-influenza|GC4|6|6:4-1666,5:4-858240,4:4-1181170,3:4-540621,2:4-150408,1:4-37796
real-influenza|GC8|4|4:8-68374,3:8-1181170,2:8-293517,1:8-37796
real-influenza|GC16|3|3:16-858240,2:16-540620,1:16-37796
real-influenza|GC32|3|3:32-1206817,2:32-150408,1:32-4725
real-influenza|GC64|2|2:64-1181170,1:64-37796
real-influenza|GC128|2|2:128-879484,1:128-9449
