file|algorithm|nLevels|rules_per_level
real-kernel|GCX-y32|5|7:20-0,6:7-4952644,5:10-1642575,4:8-182984,3:8-23026,2:32-2880
real-kernel|GCX-y2|1|3:2-0,2:2-7107
real-kernel|GCX-y4|13|15:3-0,14:2-89260,13:2-1231203,12:2-4019660,11:2-4904514,10:2-3741016,9:2-2260333,8:2-1240705,7:2-646928,6:2-330822,5:2-166842,4:2-83692,3:2-41909,2:4-20975
real-kernel|GC2|15|15:2-7107,14:2-342174,13:2-2320814,12:2-4781641,11:2-4569340,10:2-3071389,9:2-1775208,8:2-949944,7:2-491930,6:2-249010,5:2-125298,4:2-62861,3:2-31452,2:2-15744,1:2-7874
real-kernel|GC4|8|8:4-342174,7:4-4781641,6:4-3071388,5:4-949943,4:4-249009,3:4-62861,2:4-15744,1:4-3937
real-kernel|GC8|5|5:8-2320814,4:8-3071388,3:8-491929,2:8-62861,1:8-7873
real-kernel|GC16|4|4:16-4781641,3:16-949943,2:16-62860,1:16-3937
real-kernel|GC32|3|3:32-4569339,2:32-249009,1:32-7873
real-kernel|GC64|3|3:64-3071388,2:64-62860,1:64-985
real-kernel|GC128|3|3:128-1775207,2:128-15743,1:128-124
