file|algorithm|nLevels|rules_per_level
real-para|GCX-y32|4|6:18-0,5:12-11820407,4:7-1862166,3:7-279568,2:32-40549
real-para|GCX-y2|1|3:2-0,2:2-26
real-para|GCX-y4|11|13:3-0,12:2-126,11:2-11792,10:2-7247682,9:2-10550573,8:2-6877923,7:2-3924811,6:2-2077067,5:2-1068865,4:2-543728,3:2-275227,2:4-138815
real-para|GC2|14|14:2-26,13:2-627,12:2-89949,11:2-12202645,10:2-9054692,9:2-5522849,8:2-3029722,7:2-1580697,6:2-808662,5:2-410392,4:2-207300,3:2-104406,2:2-52369,1:2-26202
real-para|GC4|7|7:4-626,6:4-12202645,5:4-5522848,4:4-1580696,3:4-410392,2:4-104405,1:4-26201
real-para|GC8|5|5:8-89948,4:8-5522848,3:8-808661,2:8-104405,1:8-13101
real-para|GC16|4|4:16-12202644,3:16-1580696,2:16-104405,1:16-6551
real-para|GC32|3|3:32-9054691,2:32-410391,1:32-13101
real-para|GC64|3|3:64-5522848,2:64-104405,1:64-1638
real-para|GC128|2|2:128-3029721,1:128-26201
