file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
artificial-rs.13|GCX-y32|1761947676|6291456|8,379291000000000|244911178|6291456|0,113651000000000|194836|216747218
artificial-rs.13|GCX-y2|2167472242|6291456|2,678251000000000|1029549378|6291456|0,437476000000000|379307670|216747218
artificial-rs.13|GCX-y4|2022974128|6291456|5,391959000000000|578158396|6291456|0,554070000000000|165148|216747218
artificial-rs.13|GCX-y8|1857833560|6291456|7,508795000000000|340789806|6291456|0,221922000000000|186684|216747218
artificial-rs.13|GCX-y16|1791777844|6291456|8,302325000000000|274790354|6291456|0,147025000000000|243268|216747218
artificial-rs.13|GC2|3034461098|6291456|4,080121000000000|867175418|6291456|1,468381000000000|185786|216747218
artificial-rs.13|GC4|2817713940|6291456|4,098598000000000|433680616|6291456|0,706150000000000|185736|216747218
artificial-rs.13|GC8|2709340520|6291456|5,835619000000000|325340440|6291456|0,420138000000000|219304|216747218
artificial-rs.13|GC16|2655154256|6291456|6,380807000000000|271226876|6291456|0,319793000000000|292604|216747218
artificial-rs.13|GC32|2628062624|6291456|7,260353000000000|244264920|6291456|0,272293000000000|423240|216747218
artificial-rs.13|GC64|2614522688|6291456|7,584438000000000|230993496|6291456|0,255793000000000|698568|216747218
artificial-rs.13|GC128|2607774848|6291456|7,556366000000000|225470944|6291456|0,265678000000000|1936720|216747218
