file|algorithm|peak|stack|time|substring_size
artificial-tm29|GCX-y32|450629|6291456|0,001302164000000|1
artificial-tm29|GCX-y32|450629|6291456|0,001424093000000|10
artificial-tm29|GCX-y32|450629|6291456|0,001996411000000|100
artificial-tm29|GCX-y32|450629|6291456|0,007474547000000|1000
artificial-tm29|GCX-y32|450629|6291456|0,063900025000000|10000
artificial-tm29|GCX-y2|451747|6291456|0,003282220000000|1
artificial-tm29|GCX-y2|451747|6291456|0,003405728000000|10
artificial-tm29|GCX-y2|451747|6291456|0,006648270000000|100
artificial-tm29|GCX-y2|451747|6291456|0,037740257000000|1000
artificial-tm29|GCX-y2|451747|6291456|0,308437591000000|10000
artificial-tm29|GCX-y4|450921|6291456|0,002000180000000|1
artificial-tm29|GCX-y4|450921|6291456|0,002051771000000|10
artificial-tm29|GCX-y4|450921|6291456|0,003399997000000|100
artificial-tm29|GCX-y4|450921|6291456|0,016434031000000|1000
artificial-tm29|GCX-y4|450921|6291456|0,142138241000000|10000
artificial-tm29|GCX-y8|450677|6291456|0,001502139000000|1
artificial-tm29|GCX-y8|450677|6291456|0,001558770000000|10
artificial-tm29|GCX-y8|450677|6291456|0,002750483000000|100
artificial-tm29|GCX-y8|450677|6291456|0,011566538000000|1000
artificial-tm29|GCX-y8|450677|6291456|0,097748416000000|10000
artificial-tm29|GCX-y16|450597|6291456|0,001344420000000|1
artificial-tm29|GCX-y16|450597|6291456|0,001363084000000|10
artificial-tm29|GCX-y16|450597|6291456|0,002225490000000|100
artificial-tm29|GCX-y16|450597|6291456|0,008688706000000|1000
artificial-tm29|GCX-y16|450597|6291456|0,073370225000000|10000
