file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size
pseudo-real-dblp.xml.0001.1|GCX-y32|2|109114|3:31-617520,2:31-109114,|28267812
pseudo-real-dblp.xml.0001.1|GCX-y2|1|52428801|2:2-3623,|176954474
pseudo-real-dblp.xml.0001.1|GCX-y4|13|8535|14:3-24021,13:2-93687,12:2-104611,11:2-89870,10:2-64210,9:2-42583,8:2-26573,7:2-18297,6:2-14008,5:2-11597,4:2-9926,3:2-8261,2:2-6270,|2185435
pseudo-real-dblp.xml.0001.1|GCX-y8|3|599187|4:7-171981,3:5-656428,2:5-599042,|18434295
pseudo-real-dblp.xml.0001.1|GCX-y16|3|1747628|4:15-371343,3:2-323956,2:2-228584,|13138877
pseudo-real-dblp.xml.0001.1|GC2|17|801|17:2-3623,16:2-37049,15:2-50060,14:2-44249,13:2-34653,12:2-25783,11:2-18418,10:2-14270,9:2-12084,8:2-10817,7:2-9835,6:2-8755,5:2-7203,4:2-5161,3:2-3095,2:2-1599,1:2-801,|1136430
pseudo-real-dblp.xml.0001.1|GC4|9|401|9:4-37049,8:4-44249,7:4-25783,6:4-14270,5:4-10817,4:4-8755,3:4-5161,2:4-1599,1:4-401,|1057300
pseudo-real-dblp.xml.0001.1|GC8|6|401|6:8-50060,5:8-25783,4:8-12084,3:8-8755,2:8-3095,1:8-401,|1215652
pseudo-real-dblp.xml.0001.1|GC16|5|101|5:16-44249,4:16-14270,3:16-8755,2:16-1599,1:16-101,|1506360
pseudo-real-dblp.xml.0001.1|GC32|4|101|4:32-34653,3:32-10817,2:32-3095,1:32-101,|2035540
pseudo-real-dblp.xml.0001.1|GC64|3|401|3:64-25783,2:64-8755,1:64-401,|2819408
pseudo-real-dblp.xml.0001.1|GC128|3|51|3:128-18418,2:128-5161,1:128-51,|3690224
