file|algorithm|peak|stack|time|substring_size
pseudo-real-dblp.xml.0001.2|GCX-y32|35441778|6291456|0,004342511000000|1
pseudo-real-dblp.xml.0001.2|GCX-y32|35441778|6291456|0,004088770000000|10
pseudo-real-dblp.xml.0001.2|GCX-y32|35441778|6291456|0,006142945000000|100
pseudo-real-dblp.xml.0001.2|GCX-y32|35441778|6291456|0,027381971000000|1000
pseudo-real-dblp.xml.0001.2|GCX-y32|35441778|6291456|0,241947613000000|10000
pseudo-real-dblp.xml.0001.2|GCX-y2|177404523|6291456|0,002114770000000|1
pseudo-real-dblp.xml.0001.2|GCX-y2|177404523|6291456|0,002132681000000|10
pseudo-real-dblp.xml.0001.2|GCX-y2|177404523|6291456|0,004367838000000|100
pseudo-real-dblp.xml.0001.2|GCX-y2|177404523|6291456|0,022103664000000|1000
pseudo-real-dblp.xml.0001.2|GCX-y2|177404523|6291456|0,211364269000000|10000
pseudo-real-dblp.xml.0001.2|GCX-y4|3437090|6291456|0,011990136000000|1
pseudo-real-dblp.xml.0001.2|GCX-y4|3437090|6291456|0,014989763000000|10
pseudo-real-dblp.xml.0001.2|GCX-y4|3437090|6291456|0,018206077000000|100
pseudo-real-dblp.xml.0001.2|GCX-y4|3437090|6291456|0,062345565000000|1000
pseudo-real-dblp.xml.0001.2|GCX-y4|3437090|6291456|0,329169432000000|10000
pseudo-real-dblp.xml.0001.2|GCX-y8|21976303|6291456|0,005352274000000|1
pseudo-real-dblp.xml.0001.2|GCX-y8|21976303|6291456|0,004975868000000|10
pseudo-real-dblp.xml.0001.2|GCX-y8|21976303|6291456|0,007664378000000|100
pseudo-real-dblp.xml.0001.2|GCX-y8|21976303|6291456|0,032261209000000|1000
pseudo-real-dblp.xml.0001.2|GCX-y8|21976303|6291456|0,248496932000000|10000
pseudo-real-dblp.xml.0001.2|GCX-y16|16558349|6291456|0,005740401000000|1
pseudo-real-dblp.xml.0001.2|GCX-y16|16558349|6291456|0,005399387000000|10
pseudo-real-dblp.xml.0001.2|GCX-y16|16558349|6291456|0,007519450000000|100
pseudo-real-dblp.xml.0001.2|GCX-y16|16558349|6291456|0,037308989000000|1000
pseudo-real-dblp.xml.0001.2|GCX-y16|16558349|6291456|0,245355712000000|10000
