file|algorithm|peak|stack|time|substring_size
pseudo-real-dna.001.1|GCX-y32|45264701|6291456|0,004527068000000|1
pseudo-real-dna.001.1|GCX-y32|45264701|6291456|0,004979657000000|10
pseudo-real-dna.001.1|GCX-y32|45264701|6291456|0,006130147000000|100
pseudo-real-dna.001.1|GCX-y32|45264701|6291456|0,030378386000000|1000
pseudo-real-dna.001.1|GCX-y32|45264701|6291456|0,245305030000000|10000
pseudo-real-dna.001.1|GCX-y2|177397315|6291456|0,002045166000000|1
pseudo-real-dna.001.1|GCX-y2|177397315|6291456|0,002018366000000|10
pseudo-real-dna.001.1|GCX-y2|177397315|6291456|0,004156519000000|100
pseudo-real-dna.001.1|GCX-y2|177397315|6291456|0,022126464000000|1000
pseudo-real-dna.001.1|GCX-y2|177397315|6291456|0,204950722000000|10000
pseudo-real-dna.001.1|GCX-y4|5915383|6291456|0,010690522000000|1
pseudo-real-dna.001.1|GCX-y4|5915383|6291456|0,011709400000000|10
pseudo-real-dna.001.1|GCX-y4|5915383|6291456|0,013522637000000|100
pseudo-real-dna.001.1|GCX-y4|5915383|6291456|0,048898203000000|1000
pseudo-real-dna.001.1|GCX-y4|5915383|6291456|0,354941912000000|10000
pseudo-real-dna.001.1|GCX-y8|20647589|6291456|0,005966901000000|1
pseudo-real-dna.001.1|GCX-y8|20647589|6291456|0,006155527000000|10
pseudo-real-dna.001.1|GCX-y8|20647589|6291456|0,006892955000000|100
pseudo-real-dna.001.1|GCX-y8|20647589|6291456|0,033607017000000|1000
pseudo-real-dna.001.1|GCX-y8|20647589|6291456|0,273983397000000|10000
pseudo-real-dna.001.1|GCX-y16|37087106|6291456|0,004595891000000|1
pseudo-real-dna.001.1|GCX-y16|37087106|6291456|0,004573500000000|10
pseudo-real-dna.001.1|GCX-y16|37087106|6291456|0,007050550000000|100
pseudo-real-dna.001.1|GCX-y16|37087106|6291456|0,040203553000000|1000
pseudo-real-dna.001.1|GCX-y16|37087106|6291456|0,304535748000000|10000
