file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size
pseudo-real-dna.001.1|GCX-y32|2|109114|3:31-1137648,2:31-109114,|44814604
pseudo-real-dna.001.1|GCX-y2|1|52428801|2:2-19,|176947266
pseudo-real-dna.001.1|GCX-y4|10|68268|11:3-70,10:2-4103,9:2-339456,8:2-231959,7:2-166440,6:2-131372,5:2-110506,4:2-94127,3:2-76438,2:2-55067,|5464902
pseudo-real-dna.001.1|GCX-y8|3|1664408|4:7-16368,3:3-1115651,2:3-1118807,|20197444
pseudo-real-dna.001.1|GCX-y16|2|466034|3:15-1083675,2:15-465861,|36637009
pseudo-real-dna.001.1|GC2|14|6401|14:2-19,13:2-259,12:2-55317,11:2-165408,10:2-133385,9:2-115452,8:2-104311,7:2-94627,6:2-82551,5:2-65738,4:2-44639,3:2-25164,2:2-12799,1:2-6401,|3980538
pseudo-real-dna.001.1|GC4|7|6401|7:4-259,6:4-165408,5:4-115452,4:4-94627,3:4-65738,2:4-25164,1:4-6401,|3657116
pseudo-real-dna.001.1|GC8|5|3201|5:8-55317,4:8-115452,3:8-82551,2:8-25164,1:8-3201,|4400560
pseudo-real-dna.001.1|GC16|4|1601|4:16-165408,3:16-94627,2:16-25164,1:16-1601,|7201940
pseudo-real-dna.001.1|GC32|3|3201|3:32-133385,2:32-65738,1:32-3201,|9500120
pseudo-real-dna.001.1|GC64|3|401|3:64-115452,2:64-25164,1:64-401,|11064408
pseudo-real-dna.001.1|GC128|2|6401|2:128-104311,1:128-6401,|15206524
