file|algorithm|peak|stack|time|substring_size
real-cere|GCX-y32|278893553|6291456|0,007680184000000|1
real-cere|GCX-y32|278893553|6291456|0,007456430000000|10
real-cere|GCX-y32|278893553|6291456|0,011276464000000|100
real-cere|GCX-y32|278893553|6291456|0,040338935000000|1000
real-cere|GCX-y32|278893553|6291456|0,342402066000000|10000
real-cere|GCX-y2|836532169|6291456|0,002445653000000|1
real-cere|GCX-y2|836532169|6291456|0,002632960000000|10
real-cere|GCX-y2|836532169|6291456|0,004691014000000|100
real-cere|GCX-y2|836532169|6291456|0,021631559000000|1000
real-cere|GCX-y2|836532169|6291456|0,188387188000000|10000
real-cere|GCX-y4|173127138|6291456|0,017171791000000|1
real-cere|GCX-y4|173127138|6291456|0,016969367000000|10
real-cere|GCX-y4|173127138|6291456|0,019108515000000|100
real-cere|GCX-y4|173127138|6291456|0,070709594000000|1000
real-cere|GCX-y4|173127138|6291456|0,585834482000000|10000
real-cere|GCX-y8|146045293|6291456|0,009470425000000|1
real-cere|GCX-y8|146045293|6291456|0,009066019000000|10
real-cere|GCX-y8|146045293|6291456|0,013787225000000|100
real-cere|GCX-y8|146045293|6291456|0,041907182000000|1000
real-cere|GCX-y8|146045293|6291456|0,322162307000000|10000
real-cere|GCX-y16|250802825|6291456|0,008294026000000|1
real-cere|GCX-y16|250802825|6291456|0,008137450000000|10
real-cere|GCX-y16|250802825|6291456|0,010053550000000|100
real-cere|GCX-y16|250802825|6291456|0,044840584000000|1000
real-cere|GCX-y16|250802825|6291456|0,376593661000000|10000
