file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
real-einstein.en.txt|GCX-y2|1|233813273|2:2-4168,|847581476|467626544
real-einstein.en.txt|GCX-y4|12|76113|13:3-23065,12:2-134755,11:2-255665,10:2-320144,9:2-387613,8:2-467028,7:2-533048,6:2-526119,5:2-422468,4:2-266629,3:2-145732,2:2-75157,|17852055|467626544
real-einstein.en.txt|GCX-y8|8|17183|9:7-166557,8:6-372983,7:6-541680,6:3-424015,5:3-192179,4:3-68003,3:2-34270,2:2-17174,|20132759|467626544
real-einstein.en.txt|GCX-y16|6|7495|7:15-279286,6:13-532059,5:5-369024,4:4-116427,3:4-29908,2:4-7493,|27831238|467626544
real-einstein.en.txt|GCX-y32|5|17461|6:31-343141,5:16-500062,4:6-150291,3:3-52059,2:3-17450,|33411383|467626544
real-einstein.en.txt|GC2|17|3569|17:2-4168,16:2-56338,15:2-193298,14:2-286991,13:2-346510,12:2-420995,11:2-499274,10:2-540925,9:2-494456,8:2-357418,7:2-210654,6:2-111321,5:2-56648,4:2-28475,3:2-14260,2:2-7136,1:2-3569,|17871952|467626544
real-einstein.en.txt|GC4|9|1785|9:4-56338,8:4-286991,7:4-420995,6:4-540924,5:4-357417,4:4-111320,3:4-28474,2:4-7135,1:4-1785,|17478640|467626544
real-einstein.en.txt|GC8|6|1784|6:8-193298,5:8-420994,4:8-494455,3:8-111320,2:8-14259,1:8-1784,|21946924|467626544
real-einstein.en.txt|GC16|5|447|5:16-286991,4:16-540924,3:16-111320,2:16-7135,1:16-447,|31174240|467626544
real-einstein.en.txt|GC32|4|446|4:32-346509,3:32-357417,2:32-14259,1:32-446,|40849732|467626544
real-einstein.en.txt|GC64|3|1784|3:64-420994,2:64-111320,1:64-1784,|45014424|467626544
real-einstein.en.txt|GC128|3|223|3:128-499273,2:128-28474,1:128-223,|73076000|467626544
