file|algorithm|peak|stack|time|substring_size
real-para|GCX-y32|289226283|6291456|0,007460840000000|1
real-para|GCX-y32|289226283|6291456|0,007639928000000|10
real-para|GCX-y32|289226283|6291456|0,009568123000000|100
real-para|GCX-y32|289226283|6291456|0,042585043000000|1000
real-para|GCX-y32|289226283|6291456|0,358409723000000|10000
real-para|GCX-y2|778494313|6291456|0,002699149000000|1
real-para|GCX-y2|778494313|6291456|0,002402001000000|10
real-para|GCX-y2|778494313|6291456|0,004711025000000|100
real-para|GCX-y2|778494313|6291456|0,026541723000000|1000
real-para|GCX-y2|778494313|6291456|0,194602491000000|10000
real-para|GCX-y4|180776055|6291456|0,015000208000000|1
real-para|GCX-y4|180776055|6291456|0,013734747000000|10
real-para|GCX-y4|180776055|6291456|0,020606416000000|100
real-para|GCX-y4|180776055|6291456|0,071587621000000|1000
real-para|GCX-y4|180776055|6291456|0,552893205000000|10000
real-para|GCX-y8|153770047|6291456|0,009562563000000|1
real-para|GCX-y8|153770047|6291456|0,010938091000000|10
real-para|GCX-y8|153770047|6291456|0,013514576000000|100
real-para|GCX-y8|153770047|6291456|0,046663134000000|1000
real-para|GCX-y8|153770047|6291456|0,365891132000000|10000
real-para|GCX-y16|240640580|6291456|0,008714012000000|1
real-para|GCX-y16|240640580|6291456|0,007999079000000|10
real-para|GCX-y16|240640580|6291456|0,009906633000000|100
real-para|GCX-y16|240640580|6291456|0,050231871000000|1000
real-para|GCX-y16|240640580|6291456|0,420331680000000|10000
