file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
artificial-fib41|GCX-y2|2679144340|6291456|3.091834000000000|1272598874|6291456|0.540772000000000|468850052|267914296
artificial-fib41|GCX-y4|2500534858|6291456|5.447920000000000|714561598|6291456|0.998418000000000|121502|267914296
artificial-fib41|GCX-y8|2296409810|6291456|7.920729000000000|421156636|6291456|0.365512000000000|142210|267914296
artificial-fib41|GCX-y16|2214760059|6291456|9.411853000000001|339579939|6291456|0.250165000000000|215275|267914296
artificial-fib41|GCX-y32|2177886871|6291456|10.058277000000000|302655805|6291456|0.190751000000000|164683|267914296
artificial-fib41|GC2|3750800480|6291456|3.419470000000000|1071799008|6291456|1.446259000000000|140792|267914296
artificial-fib41|GC4|3482886216|6291456|2.691817000000000|535976820|6291456|0.580321000000000|147476|267914296
artificial-fib41|GC8|3348929156|6291456|3.842491000000000|402050512|6291456|0.330766000000000|178432|267914296
artificial-fib41|GC16|3281950980|6291456|4.667938000000000|335100124|6291456|0.241147000000000|206524|267914296
artificial-fib41|GC32|3248462692|6291456|5.106316000000000|301841760|6291456|0.184505000000000|436656|267914296
artificial-fib41|GC64|3231721380|6291456|5.008775000000000|285042912|6291456|0.166960000000000|382512|267914296
artificial-fib41|GC128|3223363108|6291456|5.399211000000000|277974728|6291456|0.157072000000000|1674008|267914296
artificial-fib41|GCIS-ef|1393821735|6291456|3.9069|1748952296|6291456|0.9143|9302|267914296
artificial-fib41|GCIS-s8b|1397463863|6291456|3.9011|1735|267914296
artificial-fib41|REPAIR|3216426288|3528|14.380796|9440|3944|1.060967|322|267914296
artificial-fib41|7zip|-|-|6.9849|-|-|0.3675|975655|267914296
