file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
artificial-tm29|GCX-y2|2684359010|6291456|5.772374000000000|1073747978|6291456|1.390477000000000|450|268435456
artificial-tm29|GCX-y4|2415923608|6291456|3.399833000000000|536880816|6291456|0.555366000000000|248|268435456
artificial-tm29|GCX-y8|2281705988|6291456|3.817712000000000|402662908|6291456|0.337993000000000|244|268435456
artificial-tm29|GCX-y16|2214597340|6291456|4.902942000000000|335554188|6291456|0.233427000000000|260|268435456
artificial-tm29|GCX-y32|2181043340|6291456|9.010814000000000|302000620|6291456|0.192908000000000|340|268435456
artificial-tm29|GC2|3758096718|6291456|3.071035000000000|1073743766|6291456|1.418378000000000|334|268435456
artificial-tm29|GC4|3489661292|6291456|1.846985000000000|536872136|6291456|0.570181000000000|184|268435456
artificial-tm29|GC8|3355443624|6291456|1.798423000000000|402654200|6291456|0.337824000000000|200|268435456
artificial-tm29|GC16|3288334880|6291456|2.200547000000000|335545488|6291456|0.234506000000000|224|268435456
artificial-tm29|GC32|3254780688|6291456|4.435753000000000|301991924|6291456|0.188995000000000|308|268435456
artificial-tm29|GC64|3238003952|6291456|4.602536000000000|285218048|6291456|0.164236000000000|496|268435456
artificial-tm29|GC128|3229616304|6291456|4.825966000000000|276842260|6291456|0.161319000000000|820|268435456
artificial-tm29|GCIS-ef|1393372575|6291456|3.5615|1700133508|6291456|0.8379|9124|268435456
artificial-tm29|GCIS-s8b|1397013455|6291456|3.5552|1555|268435456
artificial-tm29|REPAIR|3222682072|3512|13.347250|9736|3720|1.017978|630|268435456
artificial-tm29|7zip|-|-|7.4884|-|-|0.3823|1927879|268435456
