file|algorithm|peak|stack|time|substring_size
real-influenza|GCX-y2|49197289|6291456|0.005760566000000|1
real-influenza|GCX-y4|49197289|6291456|0.006419351000000|1
real-influenza|GCX-y8|49197289|6291456|0.005786495000000|1
real-influenza|GCX-y16|49197289|6291456|0.004573055000000|1
real-influenza|GCX-y32|49197289|6291456|0.005085796000000|1
real-influenza|GC2|28151539|6291456|0.007880961000000|1
real-influenza|GC4|26194245|6291456|0.004349806000000|1
real-influenza|GC8|29771917|6291456|0.003442612000000|1
real-influenza|GC16|38775833|6291456|0.003072185000000|1
real-influenza|GC32|52891617|6291456|0.002418785000000|1
real-influenza|GC64|82997437|6291456|0.002697471000000|1
real-influenza|GC128|116436677|6291456|0.002514292000000|1
real-influenza|GCIS-ef|1
real-influenza|PlainSlp_32Fblc|0|0|0.0102|1
real-influenza|PlainSlp_FblcFblc|0|0|0.0072|1
real-influenza|GCX-y2|49197289|6291456|0.004776247000000|10
real-influenza|GCX-y4|49197289|6291456|0.004677489000000|10
real-influenza|GCX-y8|49197289|6291456|0.005000242000000|10
real-influenza|GCX-y16|49197289|6291456|0.004873611000000|10
real-influenza|GCX-y32|49197289|6291456|0.005154243000000|10
real-influenza|GC2|28151539|6291456|0.007283898000000|10
real-influenza|GC4|26194245|6291456|0.004616039000000|10
real-influenza|GC8|29771917|6291456|0.002609427000000|10
real-influenza|GC16|38775833|6291456|0.002873453000000|10
real-influenza|GC32|52891617|6291456|0.002245625000000|10
real-influenza|GC64|82997437|6291456|0.002430332000000|10
real-influenza|GC128|116436677|6291456|0.002412869000000|10
real-influenza|GCIS-ef|10
real-influenza|PlainSlp_32Fblc|0|0|0.0118|10
real-influenza|PlainSlp_FblcFblc|0|0|0.0090|10
real-influenza|GCX-y2|49197289|6291456|0.008837415000000|100
real-influenza|GCX-y4|49197289|6291456|0.008196787000000|100
real-influenza|GCX-y8|49197289|6291456|0.007968103000000|100
real-influenza|GCX-y16|49197289|6291456|0.008176812000000|100
real-influenza|GCX-y32|49197289|6291456|0.007463369000000|100
real-influenza|GC2|28151539|6291456|0.011647183000000|100
real-influenza|GC4|26194245|6291456|0.007207033000000|100
real-influenza|GC8|29771917|6291456|0.004313698000000|100
real-influenza|GC16|38775833|6291456|0.005096738000000|100
real-influenza|GC32|52891617|6291456|0.005422801000000|100
real-influenza|GC64|82997437|6291456|0.004085556000000|100
real-influenza|GC128|116436677|6291456|0.003895188000000|100
real-influenza|GCIS-ef|100
real-influenza|PlainSlp_32Fblc|0|0|0.0140|100
real-influenza|PlainSlp_FblcFblc|0|0|0.0202|100
real-influenza|GCX-y2|49197289|6291456|0.031998134000000|1000
real-influenza|GCX-y4|49197289|6291456|0.036475154000000|1000
real-influenza|GCX-y8|49197289|6291456|0.040082553000000|1000
real-influenza|GCX-y16|49197289|6291456|0.031574002000000|1000
real-influenza|GCX-y32|49197289|6291456|0.029981792000000|1000
real-influenza|GC2|28151539|6291456|0.052209564000000|1000
real-influenza|GC4|26194245|6291456|0.027431885000000|1000
real-influenza|GC8|29771917|6291456|0.022770835000000|1000
real-influenza|GC16|38775833|6291456|0.019873930000000|1000
real-influenza|GC32|52891617|6291456|0.024486146000000|1000
real-influenza|GC64|82997437|6291456|0.021605635000000|1000
real-influenza|GC128|116436677|6291456|0.015606210000000|1000
real-influenza|GCIS-ef|1000
real-influenza|PlainSlp_32Fblc|0|0|0.0793|1000
real-influenza|PlainSlp_FblcFblc|0|0|0.1138|1000
real-influenza|GCX-y2|49197289|6291456|0.237194175000000|10000
real-influenza|GCX-y4|49197289|6291456|0.229630182000000|10000
real-influenza|GCX-y8|49197289|6291456|0.231200910000000|10000
real-influenza|GCX-y16|49197289|6291456|0.230307630000000|10000
real-influenza|GCX-y32|49197289|6291456|0.248750594000000|10000
real-influenza|GC2|28151539|6291456|0.436016830000000|10000
real-influenza|GC4|26194245|6291456|0.229267263000000|10000
real-influenza|GC8|29771917|6291456|0.155462343000000|10000
real-influenza|GC16|38775833|6291456|0.133782640000000|10000
real-influenza|GC32|52891617|6291456|0.175922449000000|10000
real-influenza|GC64|82997437|6291456|0.167979043000000|10000
real-influenza|GC128|116436677|6291456|0.126631297000000|10000
real-influenza|GCIS-ef|9822272|6291456|10.8442|10000
real-influenza|PlainSlp_32Fblc|0|0|0.6118|10000
real-influenza|PlainSlp_FblcFblc|0|0|0.9719|10000
