file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
pseudo-real-dna.001.1|GCX-y2|1048580482|6291456|1.943079000000000|491529072|6291456|0.217766000000000|176947266|104857600
pseudo-real-dna.001.1|GCX-y4|978675634|6291456|5.283401000000000|285090078|6291456|0.451313000000000|5464902|104857600
pseudo-real-dna.001.1|GCX-y8|898898584|6291456|4.847584000000000|184982866|6291456|0.204977000000000|20197444|104857600
pseudo-real-dna.001.1|GCX-y16|883082677|6291456|4.909623000000000|169465747|6291456|0.155582000000000|36637009|104857600
pseudo-real-dna.001.1|GCX-y32|887663056|6291456|4.861034000000000|163212342|6291456|0.231263000000000|44814604|104857600
pseudo-real-dna.001.1|GC2|1468006766|6291456|2.758261000000000|423411922|6291456|0.638708000000000|3980538|104857600
pseudo-real-dna.001.1|GC4|1363150188|6291456|2.250131000000000|213373020|6291456|0.262870000000000|3657116|104857600
pseudo-real-dna.001.1|GC8|1311162936|6291456|2.350961000000000|161687584|6291456|0.152583000000000|4400560|104857600
pseudo-real-dna.001.1|GC16|1287152624|6291456|2.422758000000000|138274740|6291456|0.123005000000000|7201940|104857600
pseudo-real-dna.001.1|GC32|1275667408|6291456|2.357076000000000|127466504|6291456|0.106213000000000|9500120|104857600
pseudo-real-dna.001.1|GC64|1272234800|6291456|2.232884000000000|122480392|6291456|0.092101000000000|11064408|104857600
pseudo-real-dna.001.1|GC128|1274921648|6291456|2.227792000000000|123358204|6291456|0.076612000000000|15206524|104857600
pseudo-real-dna.001.1|GCIS-ef|554735535|6291456|4.3832|645369212|6291456|0.5764|4450705|104857600
pseudo-real-dna.001.1|GCIS-s8b|551217604|6291456|4.2588|3324667|104857600
pseudo-real-dna.001.1|REPAIR-PlainSlp_32Fblc|1259417048|3496|29.253438|2096320|3432|0.813473||12822603
pseudo-real-dna.001.1|REPAIR-PlainSlp_FblcFblc|1259417048|3496|29.253438|2096320|3432|0.813473||10524285
pseudo-real-dna.001.1|7zip|-|-|20.2499|-|-|0.1445|538294|104857600
