file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
pseudo-real-sources.001.2|GCX-y2|1048593948|6291456|3.469653000000000|491542538|6291456|0.214415000000000|176960732|104857600
pseudo-real-sources.001.2|GCX-y4|979000153|6291456|6.185189000000000|292073173|6291456|0.517987000000000|12448141|104857600
pseudo-real-sources.001.2|GCX-y8|904866924|6291456|5.055478000000000|191276120|6291456|0.254437000000000|26490720|104857600
pseudo-real-sources.001.2|GCX-y16|894312562|6291456|4.985494000000000|180690808|6291456|0.219393000000000|47862070|104857600
pseudo-real-sources.001.2|GCX-y32|925613132|6291456|4.926265000000000|201584786|6291456|0.295395000000000|83187048|104857600
pseudo-real-sources.001.2|GC2|1468020232|6291456|3.852462000000000|424570972|6291456|0.697652000000000|5139588|104857600
pseudo-real-sources.001.2|GC4|1363621304|6291456|2.523492000000000|214480904|6291456|0.277256000000000|4765000|104857600
pseudo-real-sources.001.2|GC8|1312128352|6291456|2.290311000000000|162919544|6291456|0.157466000000000|5632520|104857600
pseudo-real-sources.001.2|GC16|1287069296|6291456|2.380333000000000|138226292|6291456|0.115953000000000|7153492|104857600
pseudo-real-sources.001.2|GC32|1275677328|6291456|2.380989000000000|127497016|6291456|0.107533000000000|9530632|104857600
pseudo-real-sources.001.2|GC64|1272310960|6291456|2.273017000000000|122556552|6291456|0.086617000000000|11140568|104857600
pseudo-real-sources.001.2|GC128|1275070128|6291456|2.273167000000000|123506684|6291456|0.077610000000000|15355004|104857600
pseudo-real-sources.001.2|GCIS-ef|556818815|6291456|4.4263|656889632|6291456|0.5922|4944252|104857600
pseudo-real-sources.001.2|GCIS-s8b|552622241|6291456|4.2430|3760243|104857600
pseudo-real-sources.001.2|REPAIR-PlainSlp_32Fblc|1263785448|3528|20.881991|5680208|3384|0.855152||16551645
pseudo-real-sources.001.2|REPAIR-PlainSlp_FblcFblc|1263785448|3528|20.881991|5680208|3384|0.855152||13875391
pseudo-real-sources.001.2|7zip|-|-|8.6346|-|-|0.1359|468263|104857600
