file|algorithm|peak|stack|time|substring_size
artificial-fib41|GCX-y2|834900|6291456|0.000943693000000|1
artificial-fib41|GCX-y4|834900|6291456|0.000791306000000|1
artificial-fib41|GCX-y8|834900|6291456|0.000803494000000|1
artificial-fib41|GCX-y16|834900|6291456|0.000766424000000|1
artificial-fib41|GCX-y32|834900|6291456|0.000746181000000|1
artificial-fib41|GC2|811537|6291456|0.001486762000000|1
artificial-fib41|GC4|817885|6291456|0.001032542000000|1
artificial-fib41|GC8|848697|6291456|0.000808607000000|1
artificial-fib41|GC16|876741|6291456|0.000759366000000|1
artificial-fib41|GC32|1106825|6291456|0.000783117000000|1
artificial-fib41|GC64|1052681|6291456|0.000717833000000|1
artificial-fib41|GC128|2344177|6291456|0.001010562000000|1
artificial-fib41|GCIS-ef|979336|6291456|0.0113|1
artificial-fib41|PlainSlp_32Fblc|0|0|0.0018|1
artificial-fib41|PlainSlp_FblcFblc|0|0|0.0022|1
artificial-fib41|GCX-y2|834900|6291456|0.000711439000000|10
artificial-fib41|GCX-y4|834900|6291456|0.000823747000000|10
artificial-fib41|GCX-y8|834900|6291456|0.000794449000000|10
artificial-fib41|GCX-y16|834900|6291456|0.000787006000000|10
artificial-fib41|GCX-y32|834900|6291456|0.000800241000000|10
artificial-fib41|GC2|811537|6291456|0.002016088000000|10
artificial-fib41|GC4|817885|6291456|0.001191609000000|10
artificial-fib41|GC8|848697|6291456|0.000901898000000|10
artificial-fib41|GC16|876741|6291456|0.000832647000000|10
artificial-fib41|GC32|1106825|6291456|0.000822870000000|10
artificial-fib41|GC64|1052681|6291456|0.000813911000000|10
artificial-fib41|GC128|2344177|6291456|0.000942194000000|10
artificial-fib41|GCIS-ef|979336|6291456|0.0130|10
artificial-fib41|PlainSlp_32Fblc|0|0|0.0017|10
artificial-fib41|PlainSlp_FblcFblc|0|0|0.0022|10
artificial-fib41|GCX-y2|834900|6291456|0.001320227000000|100
artificial-fib41|GCX-y4|834900|6291456|0.001416878000000|100
artificial-fib41|GCX-y8|834900|6291456|0.001399959000000|100
artificial-fib41|GCX-y16|834900|6291456|0.001408540000000|100
artificial-fib41|GCX-y32|834900|6291456|0.001364138000000|100
artificial-fib41|GC2|811537|6291456|0.004615280000000|100
artificial-fib41|GC4|817885|6291456|0.003038421000000|100
artificial-fib41|GC8|848697|6291456|0.001765616000000|100
artificial-fib41|GC16|876741|6291456|0.001467872000000|100
artificial-fib41|GC32|1106825|6291456|0.001211032000000|100
artificial-fib41|GC64|1052681|6291456|0.001309935000000|100
artificial-fib41|GC128|2344177|6291456|0.001499107000000|100
artificial-fib41|GCIS-ef|979336|6291456|0.0318|100
artificial-fib41|PlainSlp_32Fblc|0|0|0.0017|100
artificial-fib41|PlainSlp_FblcFblc|0|0|0.0023|100
artificial-fib41|GCX-y2|834900|6291456|0.005859821000000|1000
artificial-fib41|GCX-y4|834900|6291456|0.005926531000000|1000
artificial-fib41|GCX-y8|834900|6291456|0.005852697000000|1000
artificial-fib41|GCX-y16|834900|6291456|0.005770925000000|1000
artificial-fib41|GCX-y32|834900|6291456|0.005862260000000|1000
artificial-fib41|GC2|811537|6291456|0.029786041000000|1000
artificial-fib41|GC4|817885|6291456|0.012835245000000|1000
artificial-fib41|GC8|848697|6291456|0.008840127000000|1000
artificial-fib41|GC16|876741|6291456|0.006428316000000|1000
artificial-fib41|GC32|1106825|6291456|0.005723810000000|1000
artificial-fib41|GC64|1052681|6291456|0.005307491000000|1000
artificial-fib41|GC128|2344177|6291456|0.005236067000000|1000
artificial-fib41|GCIS-ef|979336|6291456|0.2154|1000
artificial-fib41|PlainSlp_32Fblc|0|0|0.0017|1000
artificial-fib41|PlainSlp_FblcFblc|0|0|0.0023|1000
artificial-fib41|GCX-y2|834900|6291456|0.048699159000000|10000
artificial-fib41|GCX-y4|834900|6291456|0.049215447000000|10000
artificial-fib41|GCX-y8|834900|6291456|0.049694575000000|10000
artificial-fib41|GCX-y16|834900|6291456|0.049047497000000|10000
artificial-fib41|GCX-y32|834900|6291456|0.048870432000000|10000
artificial-fib41|GC2|811537|6291456|0.268345028000000|10000
artificial-fib41|GC4|817885|6291456|0.114358052000000|10000
artificial-fib41|GC8|848697|6291456|0.073286512000000|10000
artificial-fib41|GC16|876741|6291456|0.054522691000000|10000
artificial-fib41|GC32|1106825|6291456|0.047497669000000|10000
artificial-fib41|GC64|1052681|6291456|0.042383059000000|10000
artificial-fib41|GC128|2344177|6291456|0.042367935000000|10000
artificial-fib41|GCIS-ef|979336|6291456|2.0605|10000
artificial-fib41|PlainSlp_32Fblc|0|0|0.0017|10000
artificial-fib41|PlainSlp_FblcFblc|0|0|0.0023|10000
