file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
artificial-fib41|GCX-y2|1|133957149|2:2-4|468850052.0|267914296.0
artificial-fib41|GCX-y4|13|21804|14:3-6,13:2-9,12:2-15,11:2-27,10:2-51,9:2-99,8:2-195,7:2-387,6:2-771,5:2-1539,4:2-3075,3:2-6147,2:2-11647|121502.0|267914296.0
artificial-fib41|GCX-y8|6|7089|7:7-10,6:6-45,5:6-255,4:6-1515,3:5-7451,2:5-7089|142210.0|267914296.0
artificial-fib41|GCX-y16|5|1425|6:15-17,5:14-213,4:14-2942,3:8-10989,2:8-1425|215275.0|267914296.0
artificial-fib41|GCX-y32|4|3557|5:31-33,4:30-933,3:9-6247,2:9-3557|164683.0|267914296.0
artificial-fib41|GC2|15|8178|15:2-4,14:2-6,13:2-10,12:2-19,11:2-35,10:2-67,9:2-131,8:2-259,7:2-515,6:2-1027,5:2-2051,4:2-4099,3:2-8195,2:2-11296,1:2-8178|140792.0|267914296.0
artificial-fib41|GC4|8|4089|8:4-6,7:4-18,6:4-67,5:4-258,4:4-1026,3:4-4099,2:4-11295,1:4-4089|147476.0|267914296.0
artificial-fib41|GC8|5|8177|5:8-10,4:8-67,3:8-514,2:8-4098,1:8-8177|178432.0|267914296.0
artificial-fib41|GC16|4|4089|4:16-18,3:16-258,2:16-4098,1:16-4089|206524.0|267914296.0
artificial-fib41|GC32|3|8177|3:32-34,2:32-1026,1:32-8177|436656.0|267914296.0
artificial-fib41|GC64|3|1023|3:64-66,2:64-4098,1:64-1023|382512.0|267914296.0
artificial-fib41|GC128|3|128|3:128-130,2:128-11295,1:128-128|1674008.0|267914296.0
