file|algorithm|peak|stack|time|substring_size
artificial-rs.13|GCX-y2|865053|6291456|0.000729979000000|1
artificial-rs.13|GCX-y4|865053|6291456|0.000807579000000|1
artificial-rs.13|GCX-y8|865053|6291456|0.000815912000000|1
artificial-rs.13|GCX-y16|865053|6291456|0.000863166000000|1
artificial-rs.13|GCX-y32|865053|6291456|0.000785924000000|1
artificial-rs.13|GC2|856531|6291456|0.001526786000000|1
artificial-rs.13|GC4|856145|6291456|0.001083227000000|1
artificial-rs.13|GC8|889569|6291456|0.000884075000000|1
artificial-rs.13|GC16|962821|6291456|0.000843301000000|1
artificial-rs.13|GC32|1093409|6291456|0.000801646000000|1
artificial-rs.13|GC64|1368737|6291456|0.000882497000000|1
artificial-rs.13|GC128|2606889|6291456|0.000960857000000|1
artificial-rs.13|GCIS-ef|971596|6291456|0.0119|1
artificial-rs.13|PlainSlp_32Fblc|0|0|0.0018|1
artificial-rs.13|PlainSlp_FblcFblc|0|0|0.0025|1
artificial-rs.13|GCX-y2|865053|6291456|0.000748956000000|10
artificial-rs.13|GCX-y4|865053|6291456|0.000828681000000|10
artificial-rs.13|GCX-y8|865053|6291456|0.000837544000000|10
artificial-rs.13|GCX-y16|865053|6291456|0.000843481000000|10
artificial-rs.13|GCX-y32|865053|6291456|0.000800910000000|10
artificial-rs.13|GC2|856531|6291456|0.002138425000000|10
artificial-rs.13|GC4|856145|6291456|0.001330929000000|10
artificial-rs.13|GC8|889569|6291456|0.000968079000000|10
artificial-rs.13|GC16|962821|6291456|0.000895675000000|10
artificial-rs.13|GC32|1093409|6291456|0.000577759000000|10
artificial-rs.13|GC64|1368737|6291456|0.000961995000000|10
artificial-rs.13|GC128|2606889|6291456|0.001033539000000|10
artificial-rs.13|GCIS-ef|971596|6291456|0.0148|10
artificial-rs.13|PlainSlp_32Fblc|0|0|0.0018|10
artificial-rs.13|PlainSlp_FblcFblc|0|0|0.0024|10
artificial-rs.13|GCX-y2|865053|6291456|0.001366840000000|100
artificial-rs.13|GCX-y4|865053|6291456|0.001352755000000|100
artificial-rs.13|GCX-y8|865053|6291456|0.001395153000000|100
artificial-rs.13|GCX-y16|865053|6291456|0.001393519000000|100
artificial-rs.13|GCX-y32|865053|6291456|0.001333311000000|100
artificial-rs.13|GC2|856531|6291456|0.004947490000000|100
artificial-rs.13|GC4|856145|6291456|0.002609338000000|100
artificial-rs.13|GC8|889569|6291456|0.001863741000000|100
artificial-rs.13|GC16|962821|6291456|0.001576002000000|100
artificial-rs.13|GC32|1093409|6291456|0.001388721000000|100
artificial-rs.13|GC64|1368737|6291456|0.001103378000000|100
artificial-rs.13|GC128|2606889|6291456|0.001555633000000|100
artificial-rs.13|GCIS-ef|971596|6291456|0.0426|100
artificial-rs.13|PlainSlp_32Fblc|0|0|0.0019|100
artificial-rs.13|PlainSlp_FblcFblc|0|0|0.0025|100
artificial-rs.13|GCX-y2|865053|6291456|0.006042405000000|1000
artificial-rs.13|GCX-y4|865053|6291456|0.005858036000000|1000
artificial-rs.13|GCX-y8|865053|6291456|0.005907508000000|1000
artificial-rs.13|GCX-y16|865053|6291456|0.005894281000000|1000
artificial-rs.13|GCX-y32|865053|6291456|0.005841571000000|1000
artificial-rs.13|GC2|856531|6291456|0.030037877000000|1000
artificial-rs.13|GC4|856145|6291456|0.013743737000000|1000
artificial-rs.13|GC8|889569|6291456|0.008953412000000|1000
artificial-rs.13|GC16|962821|6291456|0.006723312000000|1000
artificial-rs.13|GC32|1093409|6291456|0.005502503000000|1000
artificial-rs.13|GC64|1368737|6291456|0.005377692000000|1000
artificial-rs.13|GC128|2606889|6291456|0.005172161000000|1000
artificial-rs.13|GCIS-ef|971596|6291456|0.3202|1000
artificial-rs.13|PlainSlp_32Fblc|0|0|0.0018|1000
artificial-rs.13|PlainSlp_FblcFblc|0|0|0.0024|1000
artificial-rs.13|GCX-y2|865053|6291456|0.049073955000000|10000
artificial-rs.13|GCX-y4|865053|6291456|0.048756480000000|10000
artificial-rs.13|GCX-y8|865053|6291456|0.049785231000000|10000
artificial-rs.13|GCX-y16|865053|6291456|0.050120160000000|10000
artificial-rs.13|GCX-y32|865053|6291456|0.048747515000000|10000
artificial-rs.13|GC2|856531|6291456|0.269481529000000|10000
artificial-rs.13|GC4|856145|6291456|0.117875332000000|10000
artificial-rs.13|GC8|889569|6291456|0.074502695000000|10000
artificial-rs.13|GC16|962821|6291456|0.055046386000000|10000
artificial-rs.13|GC32|1093409|6291456|0.045886305000000|10000
artificial-rs.13|GC64|1368737|6291456|0.042877420000000|10000
artificial-rs.13|GC128|2606889|6291456|0.042382730000000|10000
artificial-rs.13|GCIS-ef|971596|6291456|3.0823|10000
artificial-rs.13|PlainSlp_32Fblc|0|0|0.0018|10000
artificial-rs.13|PlainSlp_FblcFblc|0|0|0.0024|10000
