file|algorithm|peak|stack|time|substring_size
pseudo-real-dblp.xml.0001.1|GCX-y2|28937933|6291456|0.001879907000000|1
pseudo-real-dblp.xml.0001.1|GCX-y4|28937933|6291456|0.001725008000000|1
pseudo-real-dblp.xml.0001.1|GCX-y8|28937933|6291456|0.001964776000000|1
pseudo-real-dblp.xml.0001.1|GCX-y16|28937933|6291456|0.002017655000000|1
pseudo-real-dblp.xml.0001.1|GCX-y32|28937933|6291456|0.002342328000000|1
pseudo-real-dblp.xml.0001.1|GC2|1807271|6291456|0.002610351000000|1
pseudo-real-dblp.xml.0001.1|GC4|1727757|6291456|0.001374718000000|1
pseudo-real-dblp.xml.0001.1|GC8|1885965|6291456|0.001497294000000|1
pseudo-real-dblp.xml.0001.1|GC16|2176625|6291456|0.001242937000000|1
pseudo-real-dblp.xml.0001.1|GC32|2705757|6291456|0.001012433000000|1
pseudo-real-dblp.xml.0001.1|GC64|3489577|6291456|0.000830729000000|1
pseudo-real-dblp.xml.0001.1|GC128|4360393|6291456|0.001432898000000|1
pseudo-real-dblp.xml.0001.1|GCIS-ef|1916216|6291456|0.0260|1
pseudo-real-dblp.xml.0001.1|PlainSlp_32Fblc|0|0|0.0036|1
pseudo-real-dblp.xml.0001.1|PlainSlp_FblcFblc|0|0|0.0052|1
pseudo-real-dblp.xml.0001.1|GCX-y2|28937933|6291456|0.001801247000000|10
pseudo-real-dblp.xml.0001.1|GCX-y4|28937933|6291456|0.002515467000000|10
pseudo-real-dblp.xml.0001.1|GCX-y8|28937933|6291456|0.002499791000000|10
pseudo-real-dblp.xml.0001.1|GCX-y16|28937933|6291456|0.002457139000000|10
pseudo-real-dblp.xml.0001.1|GCX-y32|28937933|6291456|0.002428665000000|10
pseudo-real-dblp.xml.0001.1|GC2|1807271|6291456|0.003116518000000|10
pseudo-real-dblp.xml.0001.1|GC4|1727757|6291456|0.001410999000000|10
pseudo-real-dblp.xml.0001.1|GC8|1885965|6291456|0.001538073000000|10
pseudo-real-dblp.xml.0001.1|GC16|2176625|6291456|0.001468531000000|10
pseudo-real-dblp.xml.0001.1|GC32|2705757|6291456|0.001345486000000|10
pseudo-real-dblp.xml.0001.1|GC64|3489577|6291456|0.001070465000000|10
pseudo-real-dblp.xml.0001.1|GC128|4360393|6291456|0.001478268000000|10
pseudo-real-dblp.xml.0001.1|GCIS-ef|1916216|6291456|0.0347|10
pseudo-real-dblp.xml.0001.1|PlainSlp_32Fblc|0|0|0.0036|10
pseudo-real-dblp.xml.0001.1|PlainSlp_FblcFblc|0|0|0.0043|10
pseudo-real-dblp.xml.0001.1|GCX-y2|28937933|6291456|0.003983676000000|100
pseudo-real-dblp.xml.0001.1|GCX-y4|28937933|6291456|0.003582155000000|100
pseudo-real-dblp.xml.0001.1|GCX-y8|28937933|6291456|0.004405703000000|100
pseudo-real-dblp.xml.0001.1|GCX-y16|28937933|6291456|0.003474256000000|100
pseudo-real-dblp.xml.0001.1|GCX-y32|28937933|6291456|0.003921733000000|100
pseudo-real-dblp.xml.0001.1|GC2|1807271|6291456|0.006513653000000|100
pseudo-real-dblp.xml.0001.1|GC4|1727757|6291456|0.003519168000000|100
pseudo-real-dblp.xml.0001.1|GC8|1885965|6291456|0.002500011000000|100
pseudo-real-dblp.xml.0001.1|GC16|2176625|6291456|0.002113573000000|100
pseudo-real-dblp.xml.0001.1|GC32|2705757|6291456|0.002093489000000|100
pseudo-real-dblp.xml.0001.1|GC64|3489577|6291456|0.001856382000000|100
pseudo-real-dblp.xml.0001.1|GC128|4360393|6291456|0.001166755000000|100
pseudo-real-dblp.xml.0001.1|GCIS-ef|1916216|6291456|0.1260|100
pseudo-real-dblp.xml.0001.1|PlainSlp_32Fblc|0|0|0.0039|100
pseudo-real-dblp.xml.0001.1|PlainSlp_FblcFblc|0|0|0.0043|100
pseudo-real-dblp.xml.0001.1|GCX-y2|28937933|6291456|0.014978523000000|1000
pseudo-real-dblp.xml.0001.1|GCX-y4|28937933|6291456|0.019300404000000|1000
pseudo-real-dblp.xml.0001.1|GCX-y8|28937933|6291456|0.016570017000000|1000
pseudo-real-dblp.xml.0001.1|GCX-y16|28937933|6291456|0.018755711000000|1000
pseudo-real-dblp.xml.0001.1|GCX-y32|28937933|6291456|0.020034275000000|1000
pseudo-real-dblp.xml.0001.1|GC2|1807271|6291456|0.044010517000000|1000
pseudo-real-dblp.xml.0001.1|GC4|1727757|6291456|0.017611298000000|1000
pseudo-real-dblp.xml.0001.1|GC8|1885965|6291456|0.010771542000000|1000
pseudo-real-dblp.xml.0001.1|GC16|2176625|6291456|0.008217263000000|1000
pseudo-real-dblp.xml.0001.1|GC32|2705757|6291456|0.007438599000000|1000
pseudo-real-dblp.xml.0001.1|GC64|3489577|6291456|0.006742174000000|1000
pseudo-real-dblp.xml.0001.1|GC128|4360393|6291456|0.005800175000000|1000
pseudo-real-dblp.xml.0001.1|GCIS-ef|1916216|6291456|1.0160|1000
pseudo-real-dblp.xml.0001.1|PlainSlp_32Fblc|0|0|0.0036|1000
pseudo-real-dblp.xml.0001.1|PlainSlp_FblcFblc|0|0|0.0042|1000
pseudo-real-dblp.xml.0001.1|GCX-y2|28937933|6291456|0.102972931000000|10000
pseudo-real-dblp.xml.0001.1|GCX-y4|28937933|6291456|0.104014271000000|10000
pseudo-real-dblp.xml.0001.1|GCX-y8|28937933|6291456|0.115994784000000|10000
pseudo-real-dblp.xml.0001.1|GCX-y16|28937933|6291456|0.102563938000000|10000
pseudo-real-dblp.xml.0001.1|GCX-y32|28937933|6291456|0.121554630000000|10000
pseudo-real-dblp.xml.0001.1|GC2|1807271|6291456|0.401765333000000|10000
pseudo-real-dblp.xml.0001.1|GC4|1727757|6291456|0.155260499000000|10000
pseudo-real-dblp.xml.0001.1|GC8|1885965|6291456|0.087100954000000|10000
pseudo-real-dblp.xml.0001.1|GC16|2176625|6291456|0.063596619000000|10000
pseudo-real-dblp.xml.0001.1|GC32|2705757|6291456|0.058220091000000|10000
pseudo-real-dblp.xml.0001.1|GC64|3489577|6291456|0.049778113000000|10000
pseudo-real-dblp.xml.0001.1|GC128|4360393|6291456|0.044527916000000|10000
pseudo-real-dblp.xml.0001.1|GCIS-ef|1916216|6291456|9.8601|10000
pseudo-real-dblp.xml.0001.1|PlainSlp_32Fblc|0|0|0.0035|10000
pseudo-real-dblp.xml.0001.1|PlainSlp_FblcFblc|0|0|0.0043|10000
