file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
real-coreutils|GCX-y2|1|102640890|2:2-18441|359280022.0|205281778.0
real-coreutils|GCX-y4|8|534589|9:3-164927,8:2-1863150,7:2-4184181,6:2-3986083,5:2-2821562,4:2-1709159,3:2-962349,2:2-516452|90737065.0|205281778.0
real-coreutils|GCX-y8|8|16972|9:7-2532112,8:4-3788679,7:3-1910697,6:3-762429,5:2-398766,4:2-202532,3:3-67813,2:4-16972|87840548.0|205281778.0
real-coreutils|GCX-y16|7|49348|8:13-4333311,7:5-2296732,6:4-736699,5:2-386815,4:2-196262,3:2-98524,2:2-49337|103063119.0|205281778.0
real-coreutils|GCX-y32|6|42769|7:20-4248536,6:5-1678080,5:4-497661,4:3-170376,3:2-85430,2:2-42760|117583196.0|205281778.0
real-coreutils|GC2|13|25060|13:2-18441,12:2-568196,11:2-3091530,10:2-4515344,9:2-3559016,8:2-2334794,7:2-1372057,6:2-752669,5:2-392808,4:2-199462,3:2-100077,2:2-50100,1:2-25060|95228706.0|205281778.0
real-coreutils|GC4|7|12530|7:4-568195,6:4-4515343,5:4-2334794,4:4-752669,3:4-199461,2:4-50099,1:4-12530|89057444.0|205281778.0
real-coreutils|GC8|5|6265|5:8-3091529,4:8-2334793,3:8-392808,2:8-50099,1:8-6265|88586552.0|205281778.0
real-coreutils|GC16|4|3133|4:16-4515343,3:16-752669,2:16-50099,1:16-3133|110589412.0|205281778.0
real-coreutils|GC32|3|6265|3:32-3559015,2:32-199461,1:32-6265|132726024.0|205281778.0
real-coreutils|GC64|3|784|3:64-2334793,2:64-50099,1:64-784|158752704.0|205281778.0
real-coreutils|GC128|2|12530|2:128-1372056,1:128-12530|180057244.0|205281778.0
