file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size
real-einstein.de.txt|GCX-y2|1|46379221|2:2-3163,|156536218.0
real-einstein.de.txt|GCX-y4|12|15099|13:3-15501,12:2-77147,11:2-144232,10:2-190758,9:2-233797,8:2-263030,7:2-249515,6:2-184262,5:2-110564,4:2-58909,3:2-29992,2:2-15080,|7380219.0
real-einstein.de.txt|GCX-y8|7|5454|8:7-94536,7:6-224908,6:5-242420,5:3-128958,4:3-47980,3:3-16302,2:3-5452,|7963684.0
real-einstein.de.txt|GCX-y16|6|1146|7:15-160286,6:10-262208,5:5-112009,4:3-40621,3:6-6870,2:6-1146,|10407470.0
real-einstein.de.txt|GCX-y32|5|5857|6:30-205238,5:11-200089,4:3-87759,3:4-23278,2:4-5856,|12276424.0
real-einstein.de.txt|GC2|16|1417|16:2-3163,15:2-34935,14:2-108966,13:2-164380,12:2-208478,11:2-249728,10:2-264392,9:2-227091,8:2-151940,7:2-85336,6:2-44381,5:2-22503,4:2-11300,3:2-5659,2:2-2831,1:2-1417,|7396082.0
real-einstein.de.txt|GC4|8|1416|8:4-34935,7:4-164379,6:4-249727,5:4-227090,4:4-85335,3:4-22502,2:4-5658,1:4-1416,|7137296.0
real-einstein.de.txt|GC8|6|354|6:8-108966,5:8-249727,4:8-151939,3:8-22502,2:8-2830,1:8-354,|8731580.0
real-einstein.de.txt|GC16|4|1416|4:16-164379,3:16-227090,2:16-22502,1:16-1416,|12162036.0
real-einstein.de.txt|GC32|4|89|4:32-208477,3:32-85335,2:32-2830,1:32-89,|13365244.0
real-einstein.de.txt|GC64|3|354|3:64-249727,2:64-22502,1:64-354,|19448624.0
real-einstein.de.txt|GC128|3|45|3:128-264391,2:128-5658,1:128-45,|35662760.0
