file|algorithm|nLevels|compressed_size|plain_size|compressed_size_ratio
real-influenza|GCX-y4|7|24.86|147.64|16.838255215388784
real-influenza|GCX-y8|6|25.64|147.64|17.366567325927935
real-influenza|GCX-y16|5|34.17|147.64|23.14413438092658
real-influenza|GCX-y32|4|46.28|147.64|31.346518558656193
real-influenza|GC4|6|24.34|147.64|16.48604714169602
real-influenza|GC8|4|27.75|147.64|18.795719317258197
real-influenza|GC16|3|36.34|147.64|24.613925765375242
real-influenza|GC32|3|49.8|147.64|33.73069628826876
pseudo-real-english.001.2|GCX-y4|7|12.12|100.0|12.12
pseudo-real-english.001.2|GCX-y8|3|27.0|100.0|27.0
pseudo-real-english.001.2|GCX-y16|2|50.79|100.0|50.79
pseudo-real-english.001.2|GCX-y32|2|82.67|100.0|82.67
pseudo-real-english.001.2|GC4|7|4.48|100.0|4.48
pseudo-real-english.001.2|GC8|5|5.52|100.0|5.52
pseudo-real-english.001.2|GC16|4|6.92|100.0|6.92
pseudo-real-english.001.2|GC32|3|9.12|100.0|9.12
pseudo-real-dblp.xml.0001.2|GCX-y4|10|2.85|100.0|2.85
pseudo-real-dblp.xml.0001.2|GCX-y8|3|20.53|100.0|20.53
pseudo-real-dblp.xml.0001.2|GCX-y16|3|15.36|100.0|15.36
pseudo-real-dblp.xml.0001.2|GCX-y32|2|33.37|100.0|33.37
pseudo-real-dblp.xml.0001.2|GC4|9|1.01|100.0|1.01
pseudo-real-dblp.xml.0001.2|GC8|6|1.16|100.0|1.16
pseudo-real-dblp.xml.0001.2|GC16|5|1.44|100.0|1.44
pseudo-real-dblp.xml.0001.2|GC32|4|1.94|100.0|1.94
real-kernel|GCX-y4|13|100.65|246.01|40.91297101743832
real-kernel|GCX-y8|8|89.92|246.01|36.551359700825174
real-kernel|GCX-y16|5|109.08|246.01|44.33966098939068
real-kernel|GCX-y32|5|132.62|246.01|53.90837770822324
real-kernel|GC4|8|95.7|246.01|38.900857688711845
real-kernel|GC8|5|97.21|246.01|39.5146538758587
real-kernel|GC16|4|119.1|246.01|48.412666151782446
real-kernel|GC32|3|162.83|246.01|66.1883663265721
real-cere|GCX-y4|12|164.68|439.92|37.43407892344063
real-cere|GCX-y8|7|138.85|439.92|31.56255682851427
real-cere|GCX-y16|5|238.75|439.92|54.27123113293326
real-cere|GCX-y32|5|265.54|439.92|60.36097472267685
real-cere|GC4|8|148.11|439.92|33.66748499727223
real-cere|GC8|5|115.81|439.92|26.325240952900526
real-cere|GC16|4|253.23|439.92|57.56273867975995
real-cere|GC32|3|303.03|439.92|68.88297872340424
real-para|GCX-y4|11|171.97|409.38|42.0074258635009
real-para|GCX-y8|7|146.22|409.38|35.717426352044555
real-para|GCX-y16|5|229.06|409.38|55.95290439200743
real-para|GCX-y32|4|275.4|409.38|67.27246079437197
real-para|GC4|7|153.51|409.38|37.498167961307345
real-para|GC8|5|116.34|409.38|28.418584200498316
real-para|GC16|4|266.19|409.38|65.02271727978895
real-para|GC32|3|316.49|409.38|77.3095901118765
pseudo-real-sources.001.2|GCX-y4|7|11.87|100.0|11.87
pseudo-real-sources.001.2|GCX-y8|3|25.26|100.0|25.259999999999998
pseudo-real-sources.001.2|GCX-y16|2|45.64|100.0|45.64
pseudo-real-sources.001.2|GCX-y32|2|79.33|100.0|79.33
pseudo-real-sources.001.2|GC4|7|4.54|100.0|4.54
pseudo-real-sources.001.2|GC8|5|5.37|100.0|5.37
pseudo-real-sources.001.2|GC16|4|6.82|100.0|6.819999999999999
pseudo-real-sources.001.2|GC32|3|9.09|100.0|9.09
pseudo-real-dblp.xml.00001.1|GCX-y4|16|1.66|100.0|1.66
pseudo-real-dblp.xml.00001.1|GCX-y8|3|17.42|100.0|17.42
pseudo-real-dblp.xml.00001.1|GCX-y16|3|12.31|100.0|12.31
pseudo-real-dblp.xml.00001.1|GCX-y32|2|26.68|100.0|26.68
pseudo-real-dblp.xml.00001.1|GC4|10|0.59|100.0|0.59
pseudo-real-dblp.xml.00001.1|GC8|7|0.66|100.0|0.66
pseudo-real-dblp.xml.00001.1|GC16|5|0.75|100.0|0.75
pseudo-real-dblp.xml.00001.1|GC32|4|0.94|100.0|0.9399999999999998
