file,GC16,GC32,GC4,GC8,GCX-y16,GCX-y32,GCX-y4,GCX-y8
artificial-fib41,4,3,8,5,5,4,13,6
artificial-rs.13,4,3,8,5,5,4,13,6
artificial-tm29,7,6,14,9,7,6,14,9
pseudo-real-dblp.xml.00001.1,5,4,10,7,3,2,16,3
pseudo-real-dblp.xml.00001.2,5,4,10,7,3,2,13,3
pseudo-real-dblp.xml.0001.1,5,4,9,6,3,2,13,3
pseudo-real-dblp.xml.0001.2,5,4,9,6,3,2,10,3
pseudo-real-dna.001.1,4,3,7,5,2,2,10,3
pseudo-real-english.001.2,4,3,7,5,2,2,7,3
pseudo-real-proteins.001.1,4,3,7,5,4,3,10,4
pseudo-real-sources.001.2,4,3,7,5,2,2,7,3
real-Escherichia_Coli,3,3,6,4,5,4,3,2
real-cere,4,3,8,5,5,5,12,7
real-coreutils,4,3,7,5,7,6,8,8
real-einstein.de.txt,4,4,8,6,6,5,12,7
real-einstein.en.txt,5,4,9,6,6,5,12,8
real-influenza,3,3,6,4,5,4,7,6
real-kernel,4,3,8,5,5,5,13,8
real-para,4,3,7,5,5,4,11,7
real-world_leaders,3,3,6,4,3,3,7,4
