file|algorithm|nLevels|xs_size|compressed_size|plain_size
real-influenza|GCX-y4|2.0|38702140.0||
|130623314|154808555.0|||
real-influenza|GCX-y8|3.0|6450358.0||
|27467790|154808555.0|||
real-influenza|GCX-y16|3.0|3870216.0||
|26435376|154808555.0|||
real-influenza|GCX-y32|3.0|2418889.0||
|33518452|154808555.0|||
real-influenza|GCX-y64|2.0|247694.0||
|45076627|154808555.0|||
real-influenza|GCX-y128|2.0|113082.0||
|57672892|154808555.0|||
real-influenza|GC2|12.0|37797.0||
real-influenza|GC4|6.0|37796.0||
real-influenza|GC8|4.0|37796.0||
real-influenza|GC16|3.0|37796.0||
real-influenza|GC32|3.0|4725.0||
real-influenza|GC64|2.0|37796.0||
real-influenza|GC128|2.0|9449.0||
pseudo-real-english.001.2|GCX-y4|2.0|26214402.0||
|85489218|104857600.0|||
pseudo-real-english.001.2|GCX-y8|2.0|6553601.0||
|21507656|104857600.0|||
pseudo-real-english.001.2|GCX-y16|2.0|2912712.0||
|25792688|104857600.0|||
pseudo-real-english.001.2|GCX-y32|2.0|620460.0||
|49384516|104857600.0|||
pseudo-real-english.001.2|GCX-y64|2.0|143838.0||
|78813108|104857600.0|||
pseudo-real-english.001.2|GCX-y128|2.0|32274.0||
|108183294|104857600.0|||
pseudo-real-english.001.2|GC2|14.0|6401.0||
pseudo-real-english.001.2|GC4|7.0|6401.0||
pseudo-real-english.001.2|GC8|5.0|3201.0||
pseudo-real-english.001.2|GC16|4.0|1601.0||
pseudo-real-english.001.2|GC32|3.0|3201.0||
pseudo-real-english.001.2|GC64|3.0|401.0||
pseudo-real-english.001.2|GC128|2.0|6401.0||
pseudo-real-dblp.xml.0001.2|GCX-y4|2.0|26214402.0||
|85324642|104857600.0|||
pseudo-real-dblp.xml.0001.2|GCX-y8|2.0|11650846.0||
|38289449|104857600.0|||
pseudo-real-dblp.xml.0001.2|GCX-y16|2.0|2912712.0||
|12586654|104857600.0|||
pseudo-real-dblp.xml.0001.2|GCX-y32|3.0|2383132.0||
|14210439|104857600.0|||
pseudo-real-dblp.xml.0001.2|GCX-y64|2.0|237773.0||
|27213767|104857600.0|||
pseudo-real-dblp.xml.0001.2|GCX-y128|2.0|59444.0||
|29243334|104857600.0|||
pseudo-real-dblp.xml.0001.2|GC2|17.0|801.0||
pseudo-real-dblp.xml.0001.2|GC4|9.0|401.0||
pseudo-real-dblp.xml.0001.2|GC8|6.0|401.0||
pseudo-real-dblp.xml.0001.2|GC16|5.0|101.0||
pseudo-real-dblp.xml.0001.2|GC32|4.0|101.0||
pseudo-real-dblp.xml.0001.2|GC64|3.0|401.0||
pseudo-real-dblp.xml.0001.2|GC128|3.0|51.0||
real-kernel|GCX-y4|2.0|64490406.0||
|218866986|257961616.0|||
