file,GC128,GC16,GC2,GC32,GC4,GC64,GC8,GCX-y128,GCX-y16,GCX-y32,GCX-y4,GCX-y64,GCX-y8
Escherichia_Coli,2,3,12,3,6,2,4,2,2,2,2,2,2
cere,3,4,15,3,8,3,5,2,2,2,2,2,2
coreutils,2,4,13,3,7,3,5,2,2,2,2,2,2
dblp.xml.00001.1,3,5,19,4,10,4,7,2,2,3,2,2,2
dblp.xml.00001.2,3,5,19,4,10,4,7,2,2,3,2,2,2
dblp.xml.0001.1,3,5,17,4,9,3,6,2,2,3,2,2,2
dblp.xml.0001.2,3,5,17,4,9,3,6,2,2,3,2,2,2
dna.001.1,2,4,14,3,7,3,5,2,2,2,2,4,2
einstein.de.txt,3,4,16,4,8,3,6,2,2,3,2,3,2
einstein.en.txt,3,5,17,4,9,3,6,3,2,5,2,4,2
english.001.2,2,4,14,3,7,3,5,2,2,2,2,2,2
fib41,3,4,15,3,8,3,5,3,8,5,1,4,2
influenza,2,3,12,3,6,2,4,2,3,3,2,2,3
kernel,3,4,15,3,8,3,5,2,2,2,2,2,2
proteins.001.1,2,4,14,3,7,3,5,2,2,6,2,2,2
rs.13,3,4,15,3,8,3,5,3,8,6,1,4,2
sources.001.2,2,4,14,3,7,3,5,2,3,2,2,2,2
tm29,4,7,27,6,14,5,9,1,1,1,1,1,1
world_leaders,2,3,12,3,6,2,4,2,2,4,2,3,2
