file|algorithm|peak|stack|time|substring_size
artificial-tm29|GCX-y4|235551137|6291456|0.001688109000000|1
artificial-tm29|GCX-y8|113916333|6291456|0.001449790000000|1
artificial-tm29|GCX-y16|55196101|6291456|0.001222120000000|1
artificial-tm29|GCX-y32|26884597|6291456|0.001248929000000|1
artificial-tm29|GCX-y64|13253205|6291456|0.001088544000000|1
artificial-tm29|GCX-y128|6699797|6291456|0.000836958000000|1
artificial-tm29|GCX-y4|235551137|6291456|0.001698119000000|10
artificial-tm29|GCX-y8|113916333|6291456|0.001596032000000|10
artificial-tm29|GCX-y16|55196101|6291456|0.001397462000000|10
artificial-tm29|GCX-y32|26884597|6291456|0.001296910000000|10
artificial-tm29|GCX-y64|13253205|6291456|0.001172503000000|10
artificial-tm29|GCX-y128|6699797|6291456|0.001152829000000|10
artificial-tm29|GCX-y4|235551137|6291456|0.002968310000000|100
artificial-tm29|GCX-y8|113916333|6291456|0.003069445000000|100
artificial-tm29|GCX-y16|55196101|6291456|0.002471638000000|100
artificial-tm29|GCX-y32|26884597|6291456|0.002029243000000|100
artificial-tm29|GCX-y64|13253205|6291456|0.001643371000000|100
artificial-tm29|GCX-y128|6699797|6291456|0.000952221000000|100
artificial-tm29|GCX-y4|235551137|6291456|0.012357014000000|1000
artificial-tm29|GCX-y8|113916333|6291456|0.009486387000000|1000
artificial-tm29|GCX-y16|55196101|6291456|0.006909748000000|1000
artificial-tm29|GCX-y32|26884597|6291456|0.006338076000000|1000
artificial-tm29|GCX-y64|13253205|6291456|0.005635299000000|1000
artificial-tm29|GCX-y128|6699797|6291456|0.005374763000000|1000
artificial-tm29|GCX-y4|235551137|6291456|0.099707279000000|10000
artificial-tm29|GCX-y8|113916333|6291456|0.075866676000000|10000
artificial-tm29|GCX-y16|55196101|6291456|0.056145267000000|10000
artificial-tm29|GCX-y32|26884597|6291456|0.050572815000000|10000
artificial-tm29|GCX-y64|13253205|6291456|0.046706228000000|10000
artificial-tm29|GCX-y128|6699797|6291456|0.043015295000000|10000
