file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
pseudo-real-dblp.xml.00001.2|GC2|19|201|19:2-2936,18:2-29541,17:2-41110,16:2-35042,15:2-25383,14:2-16515,13:2-9178,12:2-5086,11:2-3038,10:2-2012,9:2-1493,8:2-1232,7:2-1088,6:2-984,5:2-897,4:2-768,3:2-587,2:2-376,1:2-201|684680.0|104857600.0
pseudo-real-dblp.xml.00001.2|GC4|10|101|10:4-29541,9:4-35042,8:4-16515,7:4-5086,6:4-2012,5:4-1232,4:4-984,3:4-768,2:4-376,1:4-101|613952.0|104857600.0
pseudo-real-dblp.xml.00001.2|GC8|7|51|7:8-41110,6:8-16515,5:8-3038,4:8-1232,3:8-897,2:8-376,1:8-51|689784.0|104857600.0
pseudo-real-dblp.xml.00001.2|GC16|5|101|5:16-35042,4:16-5086,3:16-1232,2:16-768,1:16-101|788896.0|104857600.0
pseudo-real-dblp.xml.00001.2|GC32|4|101|4:32-25383,3:32-2012,2:32-897,1:32-101|988668.0|104857600.0
pseudo-real-dblp.xml.00001.2|GC64|4|7|4:64-16515,3:64-1232,2:64-376,1:64-7|1251364.0|104857600.0
pseudo-real-dblp.xml.00001.2|GC128|3|51|3:128-9178,2:128-984,1:128-51|1420000.0|104857600.0
pseudo-real-dblp.xml.00001.2|GCX-y4|2|26214402|3:2-2936,2:2-29542,|85298724.0|104857600.0
pseudo-real-dblp.xml.00001.2|GCX-y8|2|11650846|3:3-20542,2:3-230264,|37852142.0|104857600.0
pseudo-real-dblp.xml.00001.2|GCX-y16|2|2912712|3:6-86923,2:6-186572,|11414342.0|104857600.0
pseudo-real-dblp.xml.00001.2|GCX-y32|3|2912714|4:9-230264,3:2-235311,2:2-186574,|12450428.0|104857600.0
pseudo-real-dblp.xml.00001.2|GCX-y64|2|409601|3:16-35042,2:16-5086,|1757636.0|104857600.0
pseudo-real-dblp.xml.00001.2|GCX-y128|2|237773|3:21-489505,2:21-237773,|23327433.0|104857600.0
