file|algorithm|peak|stack|time|substring_size
pseudo-real-english.001.2|PlainSlp_32Fblc|0|0|0.0053|1
pseudo-real-english.001.2|PlainSlp_FblcFblc|0|0|0.0053|1
pseudo-real-english.001.2|PlainSlp_32Fblc|0|0|0.0051|10
pseudo-real-english.001.2|PlainSlp_FblcFblc|0|0|0.0054|10
pseudo-real-english.001.2|PlainSlp_32Fblc|0|0|0.0049|100
pseudo-real-english.001.2|PlainSlp_FblcFblc|0|0|0.0054|100
pseudo-real-english.001.2|PlainSlp_32Fblc|0|0|0.0064|1000
pseudo-real-english.001.2|PlainSlp_FblcFblc|0|0|0.0056|1000
pseudo-real-english.001.2|PlainSlp_32Fblc|0|0|0.0054|10000
pseudo-real-english.001.2|PlainSlp_FblcFblc|0|0|0.0054|10000
pseudo-real-english.001.2|GC2|5797571|6291456|0.004526603|1
pseudo-real-english.001.2|GC4|5371181|6291456|0.003029362|1
pseudo-real-english.001.2|GC8|6459025|6291456|0.002354262|1
pseudo-real-english.001.2|GC16|7925501|6291456|0.002363548|1
pseudo-real-english.001.2|GC32|10235009|6291456|0.001853656|1
pseudo-real-english.001.2|GC64|11823697|6291456|0.00174621|1
pseudo-real-english.001.2|GC128|16034213|6291456|0.001624877|1
pseudo-real-english.001.2|GCIS-ef|6126180|6291456|0.0221|1
pseudo-real-english.001.2|GC2|5797571|6291456|0.004246657|10
pseudo-real-english.001.2|GC4|5371181|6291456|0.00305669|10
pseudo-real-english.001.2|GC8|6459025|6291456|0.002645782|10
pseudo-real-english.001.2|GC16|7925501|6291456|0.000999512|10
pseudo-real-english.001.2|GC32|10235009|6291456|0.001890765|10
pseudo-real-english.001.2|GC64|11823697|6291456|0.001899059|10
pseudo-real-english.001.2|GC128|16034213|6291456|0.001636027|10
pseudo-real-english.001.2|GCIS-ef|6126180|6291456|0.0335|10
pseudo-real-english.001.2|GC2|5797571|6291456|0.008714929|100
pseudo-real-english.001.2|GC4|5371181|6291456|0.004701347|100
pseudo-real-english.001.2|GC8|6459025|6291456|0.003896644|100
pseudo-real-english.001.2|GC16|7925501|6291456|0.003358278|100
pseudo-real-english.001.2|GC32|10235009|6291456|0.003054338|100
pseudo-real-english.001.2|GC64|11823697|6291456|0.003080427|100
pseudo-real-english.001.2|GC128|16034213|6291456|0.002429778|100
pseudo-real-english.001.2|GCIS-ef|6126180|6291456|0.1384|100
pseudo-real-english.001.2|GC2|5797571|6291456|0.047202135|1000
pseudo-real-english.001.2|GC4|5371181|6291456|0.019967726|1000
pseudo-real-english.001.2|GC8|6459025|6291456|0.014337514|1000
pseudo-real-english.001.2|GC16|7925501|6291456|0.012275062|1000
pseudo-real-english.001.2|GC32|10235009|6291456|0.009443846|1000
pseudo-real-english.001.2|GC64|11823697|6291456|0.012122756|1000
pseudo-real-english.001.2|GC128|16034213|6291456|0.00844214|1000
pseudo-real-english.001.2|GCIS-ef|6126180|6291456|1.3256|1000
pseudo-real-english.001.2|GC2|5797571|6291456|0.420124202|10000
