file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
real-cere|GCX-y4|4612870976|6291456|17.504223000000000|2248777872|6291456|1.850483000000000|403626784|461286644
real-cere|GCX-y8|3997864070|6291456|20.650482000000000|893241266|6291456|1.285509000000000|124421078|461286644
real-cere|GCX-y16|3893766587|6291456|21.937407000000000|778377790|6291456|1.382585000000000|149341387|461286644
real-cere|GCX-y32|3893766715|6291456|22.065141000000001|778377790|6291456|1.330934000000000|149341387|461286644
real-cere|GCX-y64|3925051636|6291456|21.959028000000000|805208020|6291456|2.020984000000000|190150012|461286644
real-cere|GCX-y128|3925052148|6291456|21.511592000000000|805208020|6291456|2.019583000000000|190150012|461286644
real-cere|GC2|6458013396|6291456|14.377528999999999|2020008132|6291456|3.887687000000000|174860516|461286644
real-cere|GC4|5996729056|6291456|12.012179000000000|1077882508|6291456|2.429397000000000|155308460|461286644
real-cere|GC8|5766673836|6291456|11.115497000000000|813368856|6291456|1.255935000000000|121438344|461286644
real-cere|GC16|5829558248|6291456|11.688287000000001|842139804|6291456|1.977703000000000|265530684|461286644
real-cere|GC32|5867146372|6291456|11.358295000000000|836698680|6291456|1.787342000000000|317749896|461286644
real-cere|GC64|5913207076|6291456|10.264003000000001|860363560|6291456|1.111838000000000|370245240|461286644
real-cere|GC128|5944127140|6291456|10.210394000000001|880370520|6291456|0.708547000000000|404663208|461286644
real-cere|GCIS-ef|2434504388|6291456|22.3614|2924286412|6291456|2.6268|20474019|461286644
real-cere|GCIS-s8b|2419260256|6291456|21.6952|1193717980|6291456|3.1556|15670977|461286644
real-cere|REPAIR-PlainSlp_32Fblc|5537224600|3512|74.001614|20499472|38400|3.465911|60504451|461286644
real-cere|REPAIR-PlainSlp_FblcFblc|5537224600|3512|74.001614|20499472|38400|3.465911|52462981|461286644
real-cere|bzip2|7532459|6291456|19.2709|3678579|6291456|9.0716|116345754|461286644
