file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
real-kernel|GCX-y4|2579634858|6291456|14.330881000000000|1250717962|6291456|1.134358000000000|218866986|257961616
real-kernel|GCX-y8|2273776622|6291456|13.313390999999999|563903276|6291456|0.859683000000000|99563258|257961616
real-kernel|GCX-y16|2211244956|6291456|13.045305000000001|487748140|6291456|0.704546000000000|100796596|257961616
real-kernel|GCX-y32|2199799648|6291456|13.011771000000000|464431516|6291456|0.726675000000000|103276088|257961616
real-kernel|GCX-y64|2197921436|6291456|12.435764000000001|452689708|6291456|0.861352000000000|108731668|257961616
real-kernel|GCX-y128|2197922460|6291456|12.402634000000001|452689708|6291456|0.866611000000000|108731668|257961616
real-kernel|GC2|3611477166|6291456|11.110189000000000|1138380142|6291456|2.019374000000000|106532646|257961616
real-kernel|GC4|3354870056|6291456|7.708459000000000|616271676|6291456|1.180022000000000|100347708|257961616
real-kernel|GC8|3243087104|6291456|6.880235000000000|488870712|6291456|0.756203000000000|101927688|257961616
real-kernel|GC16|3236536512|6291456|6.600187000000000|447336580|6291456|0.877999000000000|124883940|257961616
real-kernel|GC32|3274004228|6291456|6.382971000000000|460943536|6291456|0.940777000000000|170735872|257961616
real-kernel|GC64|3308232228|6291456|5.827382000000000|482355464|6291456|0.636075000000000|208270424|257961616
real-kernel|GC128|3330829988|6291456|5.754869000000000|498825904|6291456|0.413401000000000|232797952|257961616
real-kernel|GCIS-ef|1355529076|6291456|12.5920|1598354008|6291456|1.4258|6927772|257961616
real-kernel|GCIS-s8b|1348593793|6291456|11.9910|691559872|6291456|1.8319|5459315|257961616
real-kernel|REPAIR-PlainSlp_32Fblc|3102388040|3480|51.781855|8472448|120200|1.975840|21705813|257961616
real-kernel|REPAIR-PlainSlp_FblcFblc|3102388040|3480|51.781855|8472448|120200|1.975840|18605639|257961616
real-kernel|bzip2|7532463|6291456|10.1797|3678583|6291456|3.9409|56074279|257961616
