algorithm_group,substring_size,count,mean,median,std,min,max
gc*,1,140,0.002566898942857143,0.0021074195,0.0018604130890412126,0.000468641,0.010776471
gc*,10,140,0.002773312857142857,0.0022799730000000002,0.0019418875256541363,0.000502839,0.010876663
gc*,100,140,0.004499758878571429,0.003557972,0.0031503476769545245,0.001001308,0.017045694
gc*,1000,140,0.021795749471428573,0.0151441065,0.017908140545930516,0.004607433,0.09356839
gc*,10000,140,0.1833861915,0.11403937850000001,0.16535768163065995,0.040870406,0.82143713
gcis-ef,1,20,0.02447,0.024399999999999998,0.007311929689861198,0.0111,0.0461
gcis-ef,10,20,0.03402,0.0348,0.010099588318863612,0.0129,0.0552
gcis-ef,100,20,0.11807000000000001,0.134,0.03651010098156688,0.0336,0.1507
gcis-ef,1000,20,0.93169,1.0608,0.31086521347260526,0.2127,1.1904
gcis-ef,10000,20,8.929775000000001,10.031500000000001,2.9630417853911006,2.0142,11.3954
gcx,1,100,0.0022072707899999998,0.00218945,0.0008680963118513899,0.000736675,0.004005031
gcx,10,100,0.00232793079,0.0022946284999999997,0.000885536725424942,0.000746723,0.00406751
gcx,100,100,0.00405341827,0.0038720875,0.0015464889784104078,0.001252576,0.006998261
gcx,1000,100,0.02052930156,0.017763204,0.009832874717916919,0.005114966,0.051303248
gcx,10000,100,0.15914355486,0.14078483349999998,0.08926438642416692,0.041105247,0.397955738
plainslp_32fblc,1,20,0.00808,0.00475,0.009135448596135364,0.0017,0.0426
plainslp_32fblc,10,20,0.00942,0.0056,0.011865323204061577,0.0019,0.0559
plainslp_32fblc,100,20,0.015955,0.0119,0.012903996728880063,0.0039,0.0633
plainslp_32fblc,1000,20,0.07105500000000001,0.07295,0.02886490265466277,0.0237,0.1385
plainslp_32fblc,10000,20,0.57621,0.60925,0.19705959264301645,0.2168,0.8362
plainslp_fblcfblc,1,20,0.00946,0.005350000000000001,0.012035054063683697,0.0023,0.0564
plainslp_fblcfblc,10,20,0.01107,0.00675,0.013536659776131511,0.0029,0.0647
plainslp_fblcfblc,100,20,0.021175,0.01695,0.01584559958839644,0.0071,0.0801
plainslp_fblcfblc,1000,20,0.104755,0.10785,0.035875053273387913,0.0473,0.1905
plainslp_fblcfblc,10000,20,0.8950049999999999,0.9601999999999999,0.24579527954655353,0.4481,1.2064
