file|algorithm|nLevels|xs_size|level_cover_qtyRules
artificial-rs.13|GCX-y4|1|54186805|2:4-9,
artificial-rs.13|GCX-y8|2|24083026|3:3-8,2:3-20,
artificial-rs.13|GCX-y16|8|31857|9:7-16,8:3-44,7:3-128,6:3-380,5:3-1135,4:3-3403,3:2-6806,2:2-6573,
artificial-rs.13|GCX-y32|6|18433|7:15-32,6:7-212,5:7-1471,4:4-5881,3:2-11545,2:2-13249,
artificial-rs.13|GCX-y64|4|5755|5:31-64,4:15-932,3:9-8372,2:9-5755,
artificial-rs.13|GCX-y128|3|3581|4:63-127,3:31-3908,2:31-3581,
artificial-rs.13|GC2|15|6616|15:2-5,14:2-10,13:2-18,12:2-34,11:2-66,10:2-130,9:2-258,8:2-514,7:2-1026,6:2-2050,5:2-4098,4:2-8194,3:2-13851,2:2-11743,1:2-6616,
artificial-rs.13|GC4|8|3308|8:4-9,7:4-33,6:4-129,5:4-514,4:4-2049,3:4-8194,2:4-11742,1:4-3308,
artificial-rs.13|GC8|5|6615|5:8-17,4:8-129,3:8-1025,2:8-8193,1:8-6615,
artificial-rs.13|GC16|4|3308|4:16-33,3:16-513,2:16-8193,1:16-3308,
artificial-rs.13|GC32|3|6615|3:32-65,2:32-2049,1:32-6615,
artificial-rs.13|GC64|3|827|3:64-129,2:64-8193,1:64-827,
artificial-rs.13|GC128|3|104|3:128-257,2:128-11742,1:128-104,
