file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio
artificial-tm29|GCX-y8|2281705988|6291456|3.056326|515908456|6291456|0.246933|108.000050|256.000000|42.187519
artificial-tm29|GCX-y16|2214597340|6291456|3.838070|390079368|6291456|0.195345|52.000072|256.000000|20.312528
artificial-tm29|GCX-y32|2181043340|6291456|8.432498|328213448|6291456|0.168689|25.000118|256.000000|9.765671
artificial-tm29|GCX-y64|2164266988|6291456|8.894164|297804872|6291456|0.158491|12.000210|256.000000|4.687582
artificial-tm29|GCX-y128|2155880108|6291456|9.140878|282862920|6291456|0.147882|5.750393|256.000000|2.246247
artificial-tm29|GC2|3758096718|6291456|3.251144|1073743766|6291456|1.447295|0.000319|256.000000|0.000124
artificial-tm29|GC4|3489661292|6291456|1.788147|536872136|6291456|0.571044|0.000175|256.000000|0.000069
artificial-tm29|GC8|3355443624|6291456|1.760749|402654200|6291456|0.333893|0.000191|256.000000|0.000075
artificial-tm29|GC16|3288334880|6291456|2.087958|335545488|6291456|0.234530|0.000214|256.000000|0.000083
artificial-tm29|GC32|3254780688|6291456|4.420016|301991924|6291456|0.185534|0.000294|256.000000|0.000115
artificial-tm29|GC64|3238003952|6291456|4.535536|285218048|6291456|0.171111|0.000473|256.000000|0.000185
artificial-tm29|GC128|3229616304|6291456|4.548816|276842260|6291456|0.156436|0.000782|256.000000|0.000305
artificial-tm29|GCIS-ef|1393372575|6291456|3.405400|1700133508|6291456|0.867300|0.008701|256.000000|0.003399
artificial-tm29|REPAIR-PlainSlp_32Fblc|3222682072|3496|13.198708|9736|3736|1.023803|0.001546|256.000000|0.000604
artificial-tm29|REPAIR-PlainSlp_FblcFblc|3222682072|3496|13.198708|9736|3736|1.023803|0.001075|256.000000|0.000420
artificial-tm29|bzip2|7532471|6291456|50.611400|3678591|6291456|3.285600|0.031403|256.000000|0.012267
artificial-tm29|GCIS-s8b|1397013471|6291456|3.466000|571752648|6291456|0.842500|0.001483|256.000000|0.000579
artificial-tm29|7zip|0|0|7.594900|0|0|0.426300|1.838569|256.000000|0.718191
