file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio
pseudo-real-dna.001.1|GCX-y8|908795048|6291456|4.433511|186983400|6291456|0.166304|11.645920|100.000000|11.645920
pseudo-real-dna.001.1|GCX-y16|887367604|6291456|4.907566|180081875|6291456|0.189990|27.286304|100.000000|27.286304
pseudo-real-dna.001.1|GCX-y32|877146902|6291456|4.840117|157353302|6291456|0.140328|21.483686|100.000000|21.483686
pseudo-real-dna.001.1|GCX-y64|863987428|6291456|4.780035|133226644|6291456|0.122652|12.759487|100.000000|12.759487
pseudo-real-dna.001.1|GCX-y128|882316494|6291456|4.485315|153125474|6291456|0.179456|39.124975|100.000000|39.124975
pseudo-real-dna.001.1|GC2|1468006766|6291456|2.720951|423411922|6291456|0.633042|3.796137|100.000000|3.796137
pseudo-real-dna.001.1|GC4|1363150188|6291456|2.168558|213373020|6291456|0.256107|3.487698|100.000000|3.487698
pseudo-real-dna.001.1|GC8|1311162936|6291456|2.306800|161687584|6291456|0.148130|4.196701|100.000000|4.196701
pseudo-real-dna.001.1|GC16|1287152624|6291456|2.406331|138274740|6291456|0.119171|6.868305|100.000000|6.868305
pseudo-real-dna.001.1|GC32|1275667408|6291456|2.344475|127466504|6291456|0.103786|9.060020|100.000000|9.060020
pseudo-real-dna.001.1|GC64|1272234800|6291456|2.214661|122480392|6291456|0.089636|10.551842|100.000000|10.551842
pseudo-real-dna.001.1|GC128|1274921648|6291456|2.197513|123358204|6291456|0.075046|14.502071|100.000000|14.502071
pseudo-real-dna.001.1|GCIS-ef|554735535|6291456|4.303900|645369212|6291456|0.549300|4.244523|100.000000|4.244523
pseudo-real-dna.001.1|REPAIR-PlainSlp_32Fblc|1259417048|3496|29.090549|2096320|3384|0.804263|12.228587|100.000000|12.228587
pseudo-real-dna.001.1|REPAIR-PlainSlp_FblcFblc|1259417048|3496|29.090549|2096320|3384|0.804263|10.036740|100.000000|10.036740
pseudo-real-dna.001.1|bzip2|7532483|6291456|4.404300|3678603|6291456|2.054600|26.117223|100.000000|26.117223
pseudo-real-dna.001.1|GCIS-s8b|551217620|6291456|4.210800|261083376|6291456|0.656800|3.170650|100.000000|3.170650
pseudo-real-dna.001.1|7zip|0|0|22.196400|0|0|0.206700|0.513357|100.000000|0.513357
