file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio
pseudo-real-english.001.2|GCX-y8|944073192|6291456|4.862067|231231936|6291456|0.234941|20.511299|100.000000|20.511299
pseudo-real-english.001.2|GCX-y16|911315488|6291456|5.144817|200564456|6291456|0.201248|24.597824|100.000000|24.597824
pseudo-real-english.001.2|GCX-y32|896704008|6291456|5.021918|186515224|6291456|0.194143|47.096745|100.000000|47.096745
pseudo-real-english.001.2|GCX-y64|921706864|6291456|4.862316|199214562|6291456|0.300811|75.162037|100.000000|75.162037
pseudo-real-english.001.2|GCX-y128|949285706|6291456|4.727754|220409040|6291456|0.266640|103.171629|100.000000|103.171629
pseudo-real-english.001.2|GC2|1468014534|6291456|3.862298|424558258|6291456|0.711903|4.889368|100.000000|4.889368
pseudo-real-english.001.2|GC4|1363499388|6291456|2.625451|214416724|6291456|0.269183|4.483051|100.000000|4.483051
pseudo-real-english.001.2|GC8|1312282448|6291456|2.343885|163075784|6291456|0.166205|5.520592|100.000000|5.520592
pseudo-real-english.001.2|GC16|1287166688|6291456|2.454539|138328084|6291456|0.116184|6.919178|100.000000|6.919178
pseudo-real-english.001.2|GC32|1275706896|6291456|2.392950|127531224|6291456|0.098538|9.121742|100.000000|9.121742
pseudo-real-english.001.2|GC64|1272320176|6291456|2.247310|122569512|6291456|0.086181|10.636833|100.000000|10.636833
pseudo-real-english.001.2|GC128|1275079216|6291456|2.225188|123515772|6291456|0.075700|14.652340|100.000000|14.652340
pseudo-real-english.001.2|GCIS-ef|558170850|6291456|4.919300|660572568|6291456|0.619800|4.865474|100.000000|4.865474
pseudo-real-english.001.2|REPAIR-PlainSlp_32Fblc|1262496436|3480|22.727433|5930336|3368|0.907907|16.371881|100.000000|16.371881
pseudo-real-english.001.2|REPAIR-PlainSlp_FblcFblc|1262496436|3480|22.727433|5930336|3368|0.907907|13.728343|100.000000|13.728343
pseudo-real-english.001.2|bzip2|7532491|6291456|4.349100|3678611|6291456|2.301700|37.322918|100.000000|37.322918
pseudo-real-english.001.2|GCIS-s8b|553052869|6291456|4.704400|283767776|6291456|0.773400|3.655444|100.000000|3.655444
pseudo-real-english.001.2|7zip|0|0|11.849800|0|0|0.175300|0.547029|100.000000|0.547029
