file|algorithm|nLevels|xs_size|level_cover_qtyRules
pseudo-real-sources.001.2|GCX-y4|2|26214402|3:2-6752,2:2-118039,
pseudo-real-sources.001.2|GCX-y8|2|6553601|3:4-118038,2:4-160200,
pseudo-real-sources.001.2|GCX-y16|3|4369069|4:6-402236,3:2-471484,2:2-411810,
pseudo-real-sources.001.2|GCX-y32|2|620460|3:13-1652521,2:13-619900,
pseudo-real-sources.001.2|GCX-y64|2|143838|3:27-2343552,2:27-143801,
pseudo-real-sources.001.2|GCX-y128|2|32274|3:57-1789929,2:57-32274,
pseudo-real-sources.001.2|GC2|14|6401|14:2-6752,13:2-118038,12:2-175994,11:2-160200,10:2-133695,9:2-116642,8:2-105471,7:2-95545,6:2-83275,5:2-66009,4:2-44689,3:2-25164,2:2-12798,1:2-6401,
pseudo-real-sources.001.2|GC4|7|6401|7:4-118038,6:4-160200,5:4-116642,4:4-95545,3:4-66009,2:4-25164,1:4-6401,
pseudo-real-sources.001.2|GC8|5|3201|5:8-175994,4:8-116642,3:8-83275,2:8-25164,1:8-3201,
pseudo-real-sources.001.2|GC16|4|1601|4:16-160200,3:16-95545,2:16-25164,1:16-1601,
pseudo-real-sources.001.2|GC32|3|3201|3:32-133695,2:32-66009,1:32-3201,
pseudo-real-sources.001.2|GC64|3|401|3:64-116642,2:64-25164,1:64-401,
pseudo-real-sources.001.2|GC128|2|6401|2:128-105471,1:128-6401,
