file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio
real-Escherichia_Coli|GCX-y8|976686436|6291456|5.003148|225956696|6291456|0.224766|36.365269|107.469096|33.837885
real-Escherichia_Coli|GCX-y16|956230724|6291456|5.234357|199275340|6291456|0.206774|39.578297|107.469096|36.827607
real-Escherichia_Coli|GCX-y32|956230990|6291456|5.170308|199275350|6291456|0.212921|39.578306|107.469096|36.827616
real-Escherichia_Coli|GCX-y64|956231246|6291456|5.028354|199275350|6291456|0.211560|39.578306|107.469096|36.827616
real-Escherichia_Coli|GCX-y128|956231758|6291456|5.054388|199275350|6291456|0.201567|39.578306|107.469096|36.827616
real-Escherichia_Coli|GC2|1577653798|6291456|3.342769|510441170|6291456|0.781877|56.917391|107.469096|52.961635
real-Escherichia_Coli|GC4|1464970372|6291456|2.970282|281793516|6291456|0.396071|53.800472|107.469096|50.061342
real-Escherichia_Coli|GC8|1409164172|6291456|2.691438|205051076|6291456|0.242061|34.347813|107.469096|31.960642
real-Escherichia_Coli|GC16|1460833860|6291456|2.883310|243447408|6291456|0.435429|97.832581|107.469096|91.033222
real-Escherichia_Coli|GC32|1463206692|6291456|2.652102|233998752|6291456|0.385869|102.254745|107.469096|95.148046
real-Escherichia_Coli|GC64|1466183716|6291456|2.398558|231499452|6291456|0.256057|106.585018|107.469096|99.177365
real-Escherichia_Coli|GC128|1466627108|6291456|2.375425|229380684|6291456|0.169399|107.910839|107.469096|100.411042
real-Escherichia_Coli|GCIS-ef|636081466|6291456|5.420000|709657679|6291456|0.844800|17.929860|107.469096|16.683736
real-Escherichia_Coli|REPAIR-PlainSlp_32Fblc|1353485596|3528|19.655361|16105832|101152|0.894334|60.660407|107.469096|56.444512
real-Escherichia_Coli|REPAIR-PlainSlp_FblcFblc|1353485596|3528|19.655361|16105832|101152|0.894334|52.044991|107.469096|48.427867
real-Escherichia_Coli|bzip2|7532483|6291456|4.882700|3678603|6291456|2.221800|28.991818|107.469096|26.976889
real-Escherichia_Coli|GCIS-s8b|614929648|6291456|5.148100|296731931|6291456|0.827200|14.145646|107.469096|13.162524
real-Escherichia_Coli|7zip|0|0|61.834500|0|0|0.312500|5.899646|107.469096|5.489621
