file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
real-influenza|GCX-y4|2|38702140|3:2-111,2:2-1667,|130623314|154808555
real-influenza|GCX-y8|3|6450358|4:6-8959,3:2-641196,2:2-1077796,|27467790|154808555
real-influenza|GCX-y16|3|3870216|4:10-385902,3:2-988735,2:2-1239193,|26435376|154808555
real-influenza|GCX-y32|3|2418889|4:16-858241,3:2-1206818,2:2-1181172,|33518452|154808555
real-influenza|GCX-y64|2|247694|3:25-1111167,2:25-243042,|45076627|154808555
real-influenza|GCX-y128|2|113082|3:37-1241432,2:37-112879,|57672892|154808555
real-influenza|GC2|12|37797|12:2-111,11:2-1667,10:2-68375,9:2-858241,8:2-1206818,7:2-1181171,6:2-879485,5:2-540621,4:2-293518,3:2-150409,2:2-75578,1:2-37797,|27480938|154808555
real-influenza|GC4|6|37796|6:4-1666,5:4-858240,4:4-1181170,3:4-540621,2:4-150408,1:4-37796,|25523932|154808555
real-influenza|GC8|4|37796|4:8-68374,3:8-1181170,2:8-293517,1:8-37796,|29101700|154808555
real-influenza|GC16|3|37796|3:16-858240,2:16-540620,1:16-37796,|38105664|154808555
real-influenza|GC32|3|4725|3:32-1206817,2:32-150408,1:32-4725,|52221448|154808555
real-influenza|GC64|2|37796|2:64-1181170,1:64-37796,|82327316|154808555
real-influenza|GC128|2|9449|2:128-879484,1:128-9449,|115766556|154808555
