file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
real-para|GCX-y4|||429265758||
real-para|GCX-y8|2.0|11924050.0|3:6-11792,2:6-8407129,|131913652.0|429265758.0
real-para|GCX-y16|2.0|3547651.0|3:11-3397823,2:11-3189940,|148457441.0|429265758.0
real-para|GCX-y32|2.0|3547651.0|3:11-3397823,2:11-3189940,|148457441.0|429265758.0
real-para|GCX-y64|2.0|2981013.0|3:12-7247682,2:12-2718534,|193409860.0|429265758.0
real-para|GCX-y128|2.0|2981013.0|3:12-7247682,2:12-2718534,|193409860.0|429265758.0
real-para|GC2|14.0|26202.0|14:2-26,13:2-627,12:2-89949,11:2-12202645,10:2-9054692,9:2-5522849,8:2-3029722,7:2-1580697,6:2-808662,5:2-410392,4:2-207300,3:2-104406,2:2-52369,1:2-26202,|182071384.0|429265758.0
real-para|GC4|7.0|26201.0|7:4-626,6:4-12202645,5:4-5522848,4:4-1580696,3:4-410392,2:4-104405,1:4-26201,|160967656.0|429265758.0
real-para|GC8|5.0|13101.0|5:8-89948,4:8-5522848,3:8-808661,2:8-104405,1:8-13101,|121991656.0|429265758.0
real-para|GC16|4.0|6551.0|4:16-12202644,3:16-1580696,2:16-104405,1:16-6551,|279118268.0|429265758.0
real-para|GC32|3.0|13101.0|3:32-9054691,2:32-410391,1:32-13101,|331861888.0|429265758.0
real-para|GC64|3.0|1638.0|3:64-5522848,2:64-104405,1:64-1638,|373746400.0|429265758.0
real-para|GC128|2.0|26201.0|2:128-3029721,1:128-26201,|397498684.0|429265758.0
