file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio
real-world_leaders|GCX-y8|423104508|6291456|1.524774|106796356|6291456|0.103430|12.255596|44.792348|27.360915
real-world_leaders|GCX-y16|408769158|6291456|1.601039|89942754|6291456|0.087743|11.113478|44.792348|24.811108
real-world_leaders|GCX-y32|397413654|6291456|1.697339|75912944|6291456|0.079818|11.306982|44.792348|25.243111
real-world_leaders|GCX-y64|394233144|6291456|1.717587|70721144|6291456|0.060120|13.685196|44.792348|30.552531
real-world_leaders|GCX-y128|396230204|6291456|1.749362|70786316|6291456|0.048712|17.729023|44.792348|39.580473
real-world_leaders|GC2|657559872|6291456|1.130791|199000184|6291456|0.296315|10.611122|44.792348|23.689587
real-world_leaders|GC4|610973092|6291456|0.791456|104154172|6291456|0.128445|9.743832|44.792348|21.753340
real-world_leaders|GC8|590012148|6291456|0.763994|82533580|6291456|0.069219|11.521160|44.792348|25.721269
real-world_leaders|GC16|582516228|6291456|0.824428|73063536|6291456|0.054524|13.687805|44.792348|30.558356
real-world_leaders|GC32|583407332|6291456|0.914325|70512480|6291456|0.058865|16.853439|44.792348|37.625711
real-world_leaders|GC64|589388452|6291456|0.871515|74594804|6291456|0.065452|23.546253|44.792348|52.567580
real-world_leaders|GC128|599240484|6291456|0.923606|83516300|6291456|0.057588|33.450207|44.792348|74.678396
real-world_leaders|GCIS-ef|247180847|6291456|1.159700|266720409|6291456|0.174500|1.725461|44.792348|3.852133
real-world_leaders|REPAIR-PlainSlp_32Fblc|565706932|3496|6.156403|1661200|7336|0.277707|5.163184|44.792348|11.526934
real-world_leaders|REPAIR-PlainSlp_FblcFblc|565706932|3496|6.156403|1661200|7336|0.277707|4.230783|44.792348|9.445324
real-world_leaders|bzip2|7532477|6291456|1.202800|3678597|6291456|0.390100|3.109865|44.792348|6.942849
real-world_leaders|GCIS-s8b|246668378|6291456|1.170100|110093989|6291456|0.179500|1.278272|44.792348|2.853772
real-world_leaders|7zip|0|0|2.501400|0|0|0.087100|0.624016|44.792348|1.393130
