file|algorithm|peak_comp_mib|peak_decomp_mib|compressed_size_mib|plain_size_mib|comp_per_input|decomp_per_input
real-einstein.en.txt|GCIS-ef|2313.670394|2769.151768|0.997934|445.963425|5.188027233399242|2774.88467974836
real-einstein.en.txt|PlainSlp_32Fblc|5355.876854|0.776314|2.814258|445.963425|12.009677372084942|0.27585033070884046
real-einstein.en.txt|GCX-y8|4013.890079|985.06319|93.127682|445.963425|9.000491641214747|10.577555124801668
real-einstein.en.txt|GC8|5576.017914|689.875927|20.930218|445.963425|12.503307673717861|32.96076166048533
real-einstein.en.txt|CBT|1026.570312|0.0|1.204101|445.963425|2.301915929540635|0.0
artificial-rs.13|GCIS-ef|1074.208678|1349.385126|0.006577|206.706255|5.196788447451675|205167.2686635244
artificial-rs.13|PlainSlp_32Fblc|2481.775475|0.009216|0.001637|206.706255|12.006291125539477|5.629810629199755
artificial-rs.13|GCX-y8|1929.262733|625.865009|74.644016|206.706255|9.333354392202597|8.38466420402675
artificial-rs.13|GC8|2583.828747|310.269096|0.209145|206.706255|12.500002706739572|1483.5118984436635
artificial-rs.13|CBT|417.699219|0.0|0.0|206.706255|2.0207381677927456|0.0
artificial-tm29|GCIS-ef|1328.823638|1621.373661|0.008701|256.0|5.1907173359375|186343.36984254685
artificial-tm29|PlainSlp_32Fblc|3073.389122|0.009285|0.001546|256.0|12.0054262578125|6.005821474773609
artificial-tm29|GCX-y8|2176.004398|492.008644|108.00005|256.0|8.5000171796875|4.555633483503017
artificial-tm29|GC8|3200.000404|384.000969|0.000191|256.0|12.500001578125|2010476.2774869108
artificial-tm29|CBT|515.726562|0.0|0.0|256.0|2.0145568828125|0.0
real-cere|GCIS-ef|2321.724308|2788.816845|19.525546|439.917225|5.277639010384283|142.82913497015653
real-cere|PlainSlp_32Fblc|5280.708885|19.54982|57.701541|439.917225|12.00386933019047|0.3388093222674937
real-cere|GCX-y8|3812.660284|851.861254|118.657187|439.917225|8.666767444716447|7.179179580584529
real-cere|GC8|5499.528728|775.688988|115.81263|439.917225|12.501280730710194|6.697792701884069
real-cere|CBT|3038.3125|0.0|11.877765|439.917225|6.906554977473319|0.0
artificial-fib41|GCIS-ef|1329.25199|1667.930885|0.008871|255.502983|5.2024910801139255|188020.61605230527
artificial-fib41|PlainSlp_32Fblc|3067.423141|0.009003|0.000802|255.502983|12.005429858327721|11.225685785536161
artificial-fib41|GCX-y8|2384.698874|773.610647|92.265043|255.502983|9.333350421196453|8.384656006717517
artificial-fib41|GC8|3193.787724|383.425247|0.170166|255.502983|12.500001708394926|2253.2424044756294
artificial-fib41|CBT|514.933594|0.0|0.0|255.502983|2.015372141467327|0.0
pseudo-real-proteins.001.1|GCIS-ef|532.498933|635.149994|4.867199|100.0|5.324989329999999|130.4959986226164
pseudo-real-proteins.001.1|PlainSlp_32Fblc|1203.065376|2.418373|13.625186|100.0|12.03065376|0.17749284303348226
pseudo-real-proteins.001.1|GCX-y8|900.416401|220.580242|20.571583|100.0|9.00416401|10.722570159039291
