file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio|plain_size_mib|compressed_size_mib
pseudo-real-dblp.xml.0001.2|GC2|1468013974|6291456|3.925960|420568406|6291456|0.712413|1136878|104857600|1.084211|100.000000|1.084211
pseudo-real-dblp.xml.0001.2|GC4|1363297528|6291456|2.655511|210773728|6291456|0.268459|1057728|104857600|1.008728|100.000000|1.008728
pseudo-real-dblp.xml.0001.2|7zip|0|0|7.336000|0|0|0.134900|196794|104857600|0.187677|100.000000|0.187677
pseudo-real-dblp.xml.0001.2|GCIS-ef|546102609|6291456|4.003700|645248028|6291456|0.418800|948495|104857600|0.904555|100.000000|0.904555
pseudo-real-dblp.xml.0001.2|PlainSlp_32Fblc|1261357844|3528|18.396422|1271776|3288|0.617745|3346507|104857600|3.191478|100.000000|3.191478
pseudo-real-dblp.xml.0001.2|PlainSlp_FblcFblc|1261357844|3528|18.396422|1271776|3288|0.617745|2728477|104857600|2.602078|100.000000|2.602078
pseudo-real-dblp.xml.0001.2|GCX-y8|978768365|6291456|5.080473|317914233|6291456|0.279178|38289449|104857600|36.515664|100.000000|36.515664
pseudo-real-dblp.xml.0001.2|GCX-y16|909433918|6291456|4.757877|187358422|6291456|0.180609|12586654|104857600|12.003569|100.000000|12.003569
pseudo-real-dblp.xml.0001.2|GCX-y32|881047991|6291456|4.642174|157207395|6291456|0.179270|14210439|104857600|13.552131|100.000000|13.552131
pseudo-real-dblp.xml.0001.2|GCX-y64|872381023|6291456|4.380472|152053640|6291456|0.125744|27213767|104857600|25.953071|100.000000|25.953071
pseudo-real-dblp.xml.0001.2|GCX-y128|871417286|6291456|4.333593|144098190|6291456|0.135729|29243334|104857600|27.888617|100.000000|27.888617
pseudo-real-dblp.xml.0001.2|GC8|1311121048|6291456|2.194642|158503092|6291456|0.145929|1216020|104857600|1.159687|100.000000|1.159687
pseudo-real-dblp.xml.0001.2|GC16|1285214304|6291456|2.235538|132579656|6291456|0.104774|1506808|104857600|1.437004|100.000000|1.437004
pseudo-real-dblp.xml.0001.2|GC32|1272508272|6291456|2.269846|120002740|6291456|0.091675|2036308|104857600|1.941975|100.000000|1.941975
pseudo-real-dblp.xml.0001.2|GC64|1266496112|6291456|2.126982|114235776|6291456|0.077725|2819792|104857600|2.689163|100.000000|2.689163
pseudo-real-dblp.xml.0001.2|GC128|1263927728|6291456|2.007359|111842336|6291456|0.068987|3690608|104857600|3.519638|100.000000|3.519638
pseudo-real-dblp.xml.0001.2|bzip2|7532495|6291456|4.935500|3678615|6291456|1.458200|13783769|104857600|13.145226|100.000000|13.145226
pseudo-real-dblp.xml.00001.2|CBT|0|0|0.000000|0|0|0.000000|1198495|104857600|1.142974|100.000000|1.142974
