file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio|plain_size_mib|compressed_size_mib
pseudo-real-dna.001.1|GC2|1468006766|6291456|2.729644|423411922|6291456|0.667999|3980538|104857600|3.796137|100.000000|3.796137
pseudo-real-dna.001.1|GC4|1363150188|6291456|2.230663|213373020|6291456|0.266623|3657116|104857600|3.487698|100.000000|3.487698
pseudo-real-dna.001.1|7zip|0|0|20.049600|0|0|0.141200|538294|104857600|0.513357|100.000000|0.513357
pseudo-real-dna.001.1|GCIS-ef|554735535|6291456|4.232300|645369212|6291456|0.562000|4450705|104857600|4.244523|100.000000|4.244523
pseudo-real-dna.001.1|PlainSlp_32Fblc|1259417048|3512|28.838688|2096320|3400|0.807493|12822603|104857600|12.228587|100.000000|12.228587
pseudo-real-dna.001.1|PlainSlp_FblcFblc|1259417048|3512|28.838688|2096320|3400|0.807493|10524285|104857600|10.036740|100.000000|10.036740
pseudo-real-dna.001.1|GCX-y8|908795048|6291456|4.374965|186983400|6291456|0.176057|12211632|104857600|11.645920|100.000000|11.645920
pseudo-real-dna.001.1|GCX-y16|887367604|6291456|4.842097|180081875|6291456|0.184816|28611764|104857600|27.286304|100.000000|27.286304
pseudo-real-dna.001.1|GCX-y32|877146902|6291456|4.841476|157353302|6291456|0.147200|22527278|104857600|21.483686|100.000000|21.483686
pseudo-real-dna.001.1|GCX-y64|863987428|6291456|4.852637|133226644|6291456|0.126423|13379292|104857600|12.759487|100.000000|12.759487
pseudo-real-dna.001.1|GCX-y128|882316494|6291456|4.523082|153125474|6291456|0.201133|41025510|104857600|39.124975|100.000000|39.124975
pseudo-real-dna.001.1|GC8|1311162936|6291456|2.329212|161687584|6291456|0.153263|4400560|104857600|4.196701|100.000000|4.196701
pseudo-real-dna.001.1|GC16|1287152624|6291456|2.346840|138274740|6291456|0.117821|7201940|104857600|6.868305|100.000000|6.868305
pseudo-real-dna.001.1|GC32|1275667408|6291456|2.387627|127466504|6291456|0.106185|9500120|104857600|9.060020|100.000000|9.060020
pseudo-real-dna.001.1|GC64|1272234800|6291456|2.153007|122480392|6291456|0.089805|11064408|104857600|10.551842|100.000000|10.551842
pseudo-real-dna.001.1|GC128|1274921648|6291456|2.212632|123358204|6291456|0.077116|15206524|104857600|14.502071|100.000000|14.502071
pseudo-real-dna.001.1|bzip2|7532483|6291456|4.361100|3678603|6291456|2.051200|27385893|104857600|26.117223|100.000000|26.117223
pseudo-real-dna.001.1|CBT|972513280|0|0.000000|0|0|0.000000|3232638|104857600|3.082884|100.000000|3.082884
