file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
real-coreutils|GC2|2873982102|6291456|8.517934|916356770|6291456|1.517941|95228706.0|205281778
real-coreutils|GC4|2670936256|6291456|5.798933|499621716|6291456|0.829238|89057444.0|205281778
real-coreutils|7zip|0|0|26.065|0|0|0.4338|7049485.0|205281778
real-coreutils|GCIS-ef|1097141095|6291456|8.8838|1283894114|6291456|1.1262|12166666.0|205281778
real-coreutils|PlainSlp_32Fblc|2470586352|3528|45.349699|14583008|1245728|1.444751|37901209.0|205281778
real-coreutils|PlainSlp_FblcFblc|2470586352|3528|45.349699|14583008|1245728|1.444751|32469739.0|205281778
real-coreutils|GCX-y8|1812353027|6291456|9.96225|454630623|6291456|0.580831|85114335.0|205281778
real-coreutils|GCX-y16|1777287572|6291456|10.157886|407312561|6291456|0.474061|84717788.0|205281778
real-coreutils|GCX-y32|1762785998|6291456|9.937885|379708010|6291456|0.539056|92304302.0|205281778
real-coreutils|GCX-y64|1762562420|6291456|9.416155|368216232|6291456|0.535236|104273220.0|205281778
real-coreutils|GCX-y128|1766501408|6291456|9.333057|363844632|6291456|0.547517|112935528.0|205281778
real-coreutils|GC8|2590754892|6291456|5.149933|396509768|6291456|0.532692|88586552.0|205281778
real-coreutils|GC16|2586947864|6291456|4.991905|367192452|6291456|0.548369|110589412.0|205281778
real-coreutils|GC32|2602930820|6291456|4.810738|363669048|6291456|0.548889|132726024.0|205281778
real-coreutils|GC64|2625639268|6291456|4.423278|376866672|6291456|0.440945|158752704.0|205281778
real-coreutils|GC128|2645421348|6291456|4.44024|391764508|6291456|0.291062|180057244.0|205281778
real-coreutils|bzip2|7532469|6291456|8.5342|3678589|6291456|2.6548|32892028.0|205281778
real-coreutils|CBT|1700151296|0|0.0|0|0|0.0|18968036.2872|205281778
