file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compression_ratio|peak_comp_mib|peak_decomp_mib|compressed_size_mib|plain_size_mib|peak_comp_gib|peak_decomp_gib|compressed_size_gib
real-influenza|GC2|2167320318|6291456|4.226177|646716058|6291456|0.970157|27480938.000000|154808555|17.751563|2066.917723|616.756495|26.207865|147.636943|2.018474|0.602301|0.025594
real-influenza|GC4|2012518220|6291456|3.426400|335141644|6291456|0.407869|25523932.000000|154808555|16.487417|1919.286938|319.615978|24.341518|147.636943|1.874304|0.312125|0.023771
real-influenza|7zip|0|0|15.379800|0|0|0.257700|2552440.000000|154808555|1.648772|0.000000|0.000000|2.434196|147.636943|0.000000|0.000000|0.002377
real-influenza|GCIS-ef|825195981|6291456|5.732000|958353627|6291456|0.674600|8759308.000000|154808555|5.658155|786.968213|913.957240|8.353527|147.636943|0.768524|0.892536|0.008158
real-influenza|PlainSlp_32Fblc|1859033796|3512|23.339881|5157832|8096|0.872122|26295983.000000|154808555|16.986130|1772.912785|4.918892|25.077804|147.636943|1.731360|0.004804|0.024490
real-influenza|PlainSlp_FblcFblc|1859033796|3512|23.339881|5157832|8096|0.872122|22087329.000000|154808555|14.267512|1772.912785|4.918892|21.064118|147.636943|1.731360|0.004804|0.020570
real-influenza|GCX-y8|1341732430|6291456|7.187069|285491166|6291456|0.358956|27467790.000000|154808555|17.743070|1279.575758|272.265593|26.195326|147.636943|1.249586|0.265884|0.025581
real-influenza|GCX-y16|1304255504|6291456|7.336994|243176512|6291456|0.292744|26435376.000000|154808555|17.076173|1243.834976|231.911194|25.210739|147.636943|1.214683|0.226476|0.024620
real-influenza|GCX-y32|1290907388|6291456|7.146639|227038588|6291456|0.242567|33518452.000000|154808555|21.651550|1231.105221|216.520870|31.965687|147.636943|1.202251|0.211446|0.031216
real-influenza|GCX-y64|1291022191|6291456|6.564097|224663825|6291456|0.225761|45076627.000000|154808555|29.117659|1231.214705|214.256120|42.988421|147.636943|1.202358|0.209234|0.041981
real-influenza|GCX-y128|1301143296|6291456|6.493252|229227334|6291456|0.256128|57672892.000000|154808555|37.254331|1240.866943|218.608221|55.001156|147.636943|1.211784|0.213485|0.053712
real-influenza|GC8|1935654356|6291456|3.536534|261315044|6291456|0.258555|29101700.000000|154808555|18.798509|1845.983845|249.209446|27.753544|147.636943|1.802719|0.243369|0.027103
real-influenza|GC16|1910137124|6291456|3.577101|231616816|6291456|0.227686|38105664.000000|154808555|24.614702|1821.648716|220.887009|36.340393|147.636943|1.778954|0.215710|0.035489
real-influenza|GC32|1915672772|6291456|3.507760|226382392|6291456|0.247232|52221448.000000|154808555|33.732921|1826.927921|215.895073|49.802254|147.636943|1.784109|0.210835|0.048635
real-influenza|GC64|1942974372|6291456|3.299458|246815892|6291456|0.259125|82327316.000000|154808555|53.180082|1852.964756|235.381977|78.513447|147.636943|1.809536|0.229865|0.076673
real-influenza|GC128|1975116068|6291456|3.330475|275417244|6291456|0.205068|115766556.000000|154808555|74.780464|1883.617466|262.658352|110.403591|147.636943|1.839470|0.256502|0.107816
real-influenza|bzip2|7532469|6291456|8.699500|3678589|6291456|1.961500|10197176.000000|154808555|6.586959|7.183522|3.508176|9.724785|147.636943|0.007015|0.003426|0.009497
real-influenza|CBT|1888501760|0|0.000000|0|0|0.000000|8932453.623500|154808555|5.770000|1801.015625|0.000000|8.518652|147.636943|1.758804|0.000000|0.008319
