file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio
real-kernel|GC2|3611477166|6291456|11.170694|1138380142|6291456|2.047669|106532646|257961616|41.297867
real-kernel|GC4|3354870056|6291456|7.701495|616271676|6291456|1.186107|100347708|257961616|38.900248
real-kernel|7zip|0|0|47.374500|0|0|0.417800|3595821|257961616|1.393936
real-kernel|GCIS-ef|1355529076|6291456|11.945800|1598354008|6291456|1.335100|6927772|257961616|2.685582
real-kernel|PlainSlp_32Fblc|3102388040|3512|51.542736|8472448|120200|1.879298|21705813|257961616|8.414358
real-kernel|PlainSlp_FblcFblc|3102388040|3512|51.542736|8472448|120200|1.879298|18605639|257961616|7.212561
real-kernel|GCX-y8|2273776622|6291456|12.985849|563903276|6291456|0.845373|99563258|257961616|38.596152
real-kernel|GCX-y16|2211244956|6291456|12.768025|487748140|6291456|0.666093|100796596|257961616|39.074261
real-kernel|GCX-y32|2199799648|6291456|12.753407|464431516|6291456|0.719257|103276088|257961616|40.035448
real-kernel|GCX-y64|2197921436|6291456|12.095234|452689708|6291456|0.828639|108731668|257961616|42.150328
real-kernel|GCX-y128|2197922460|6291456|12.076205|452689708|6291456|0.836700|108731668|257961616|42.150328
real-kernel|GC8|3243087104|6291456|6.622142|488870712|6291456|0.690912|101927688|257961616|39.512734
real-kernel|GC16|3236536512|6291456|6.378796|447336580|6291456|0.865363|124883940|257961616|48.411830
real-kernel|GC32|3274004228|6291456|6.243541|460943536|6291456|0.882605|170735872|257961616|66.186541
real-kernel|GC64|3308232228|6291456|5.724205|482355464|6291456|0.611682|208270424|257961616|80.736982
real-kernel|GC128|3330829988|6291456|5.622086|498825904|6291456|0.378401|232797952|257961616|90.245191
real-kernel|bzip2|7532463|6291456|9.843200|3678583|6291456|3.745400|56074279|257961616|21.737451
real-kernel|CBT|0|0|0|0|0|0|9719599|257961616|00
