file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compression_ratio|peak_comp_mib|peak_decomp_mib|compressed_size_mib
real-para|GC2|6009720992.000000|6291456|14.078928|1899135408.000000|6291456.000000|3.739346|182071384.000000|429265758.000000|42.414607|5731.316559|1811.156662|173.636803
real-para|GC4|5580457712.000000|6291456|11.697193|1019499848.000000|6291456.000000|2.329685|160967656.000000|429265758.000000|37.498369|5321.939194|972.270821|153.510719
real-para|7zip|0.000000|0|322.365300|0.000000|0.000000|0.988500|16988020.000000|429265758.000000|3.957460|0.000000|0.000000|16.201038
real-para|GCIS-ef|2282139659.000000|6291456|20.528200|2682086462.000000|6291456.000000|2.478800|24599324.000000|429265758.000000|5.730558|2176.417979|2557.836973|23.459743
real-para|PlainSlp_32Fblc|5152919176.000000|3480|71.043428|24760120.000000|8768.000000|3.249517|78649347.000000|429265758.000000|18.321831|4914.206673|23.613091|75.005862
real-para|PlainSlp_FblcFblc|5152919176.000000|3480|71.043428|24760120.000000|8768.000000|3.249517|69105925.000000|429265758.000000|16.098634|4914.206673|23.613091|65.904546
real-para|GCX-y8|3720378516.000000|6291456|19.100820|847365700.000000|6291456.000000|1.191592|131913652.000000|429265758.000000|30.730066|3548.029438|808.110905|125.802662
real-para|GCX-y16|3627603345.000000|6291456|20.280923|733828904.000000|6291456.000000|1.257262|148457441.000000|429265758.000000|34.584040|3459.552140|699.833778|141.580049
real-para|GCX-y32|3627603473.000000|6291456|20.435272|733828904.000000|6291456.000000|1.395225|148457441.000000|429265758.000000|34.584040|3459.552262|699.833778|141.580049
real-para|GCX-y64|3664192100.000000|6291456|20.333688|765773404.000000|6291456.000000|1.898890|193409860.000000|429265758.000000|45.055972|3494.445896|730.298428|184.450016
real-para|GCX-y128|3664192612.000000|6291456|20.312230|765773404.000000|6291456.000000|1.903410|193409860.000000|429265758.000000|45.055972|3494.446384|730.298428|184.450016
real-para|GC8|5366541956.000000|6291456|10.318957|765890872.000000|6291456.000000|1.125242|121991656.000000|429265758.000000|28.418679|5117.933231|730.410454|116.340309
real-para|GC16|5453748324.000000|6291456|10.956447|815701148.000000|6291456.000000|1.838494|279118268.000000|429265758.000000|65.022253|5201.099705|777.913235|266.187923
real-para|GC32|5494598020.000000|6291456|10.521762|814786480.000000|6291456.000000|1.622640|331861888.000000|429265758.000000|77.309192|5240.057011|777.040939|316.488159
real-para|GC64|5531481892.000000|6291456|9.683214|829845136.000000|6291456.000000|1.033458|373746400.000000|429265758.000000|87.066437|5275.232212|791.401993|356.432343
real-para|GC128|5552410020.000000|6291456|9.469472|840191164.000000|6291456.000000|0.638013|397498684.000000|429265758.000000|92.599672|5295.190830|801.268734|379.084286
real-para|bzip2|7532459.000000|6291456|17.820600|3678579.000000|6291456.000000|8.347800|112233085.000000|429265758.000000|26.145362|7.183513|3.508166|107.033811
real-para|CBT|3575631872.000000|0|0.000000|0.000000|0.000000|0.000000|16569658.258800|429265758.000000|3.860000|3409.988281|0.000000|15.802058
