file|algorithm|peak|stack|time|substring_size
real-kernel|GCX-y2|452117139|6291456|0.001980822000000|1
real-kernel|GCX-y4|219537107|6291456|0.002131102000000|1
real-kernel|GC2|107203391|6291456|0.009034500000000|1
real-kernel|GC4|101018117|6291456|0.005465086000000|1
real-kernel|GCX-y2|452117139|6291456|0.002062934000000|10
real-kernel|GCX-y4|219537107|6291456|0.002062941000000|10
real-kernel|GC2|107203391|6291456|0.009825386000000|10
real-kernel|GC4|101018117|6291456|0.005523226000000|10
real-kernel|GCX-y2|452117139|6291456|0.003354083000000|100
real-kernel|GCX-y4|219537107|6291456|0.005725162000000|100
real-kernel|GC2|107203391|6291456|0.018961810000000|100
real-kernel|GC4|101018117|6291456|0.010626974000000|100
real-kernel|GCX-y2|452117139|6291456|0.017311735000000|1000
real-kernel|GCX-y4|219537107|6291456|0.029364879000000|1000
real-kernel|GC2|107203391|6291456|0.095074924000000|1000
real-kernel|GC4|101018117|6291456|0.050912769000000|1000
real-kernel|GCX-y2|452117139|6291456|0.142368239000000|10000
real-kernel|GCX-y4|219537107|6291456|0.267799782000000|10000
real-kernel|GC2|107203391|6291456|0.850605408000000|10000
real-kernel|GC4|101018117|6291456|0.463357431000000|10000
