file|algorithm|peak|stack|time|substring_size
pseudo-real-dna.001.1|GCX-y16|29278813|6291456|0.002666825000000|1
pseudo-real-dna.001.1|GC16|7869085|6291456|0.001787587000000|1
pseudo-real-dna.001.1|GCX-y16|29278813|6291456|0.002113073000000|10
pseudo-real-dna.001.1|GC16|7869085|6291456|0.002306738000000|10
pseudo-real-dna.001.1|GCX-y16|29278813|6291456|0.003445823000000|100
pseudo-real-dna.001.1|GC16|7869085|6291456|0.003574494000000|100
pseudo-real-dna.001.1|GCX-y16|29278813|6291456|0.019498209000000|1000
pseudo-real-dna.001.1|GC16|7869085|6291456|0.011729651000000|1000
pseudo-real-dna.001.1|GCX-y16|29278813|6291456|0.139126124000000|10000
pseudo-real-dna.001.1|GC16|7869085|6291456|0.084018782000000|10000
