file|algorithm|peak|stack|time|substring_size
real-coreutils|GCX-y16|85384837|6291456|0.002643970000000|1
real-coreutils|GC16|111256557|6291456|0.003966885000000|1
real-coreutils|GCX-y16|85384837|6291456|0.002813877000000|10
real-coreutils|GC16|111256557|6291456|0.003626019000000|10
real-coreutils|GCX-y16|85384837|6291456|0.004998939000000|100
real-coreutils|GC16|111256557|6291456|0.006490131000000|100
real-coreutils|GCX-y16|85384837|6291456|0.031821117000000|1000
real-coreutils|GC16|111256557|6291456|0.032664415000000|1000
real-coreutils|GCX-y16|85384837|6291456|0.245393348000000|10000
real-coreutils|GC16|111256557|6291456|0.280239594000000|10000
