file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
corpus-dickens|GCX-y2|101933596|6291456|0.350038000000000|45879732|6291456|0.026269000000000|15293388|10192446
corpus-dickens|GCX-y4|101933612|6291456|0.485654000000000|48315932|6291456|0.051477000000000|7541644|10192446
corpus-dickens|GCX-y8|90532014|6291456|0.429734000000000|25035597|6291456|0.026055000000000|6680094|10192446
corpus-dickens|GCX-y16|90770129|6291456|0.477015000000000|23553663|6291456|0.026728000000000|7527845|10192446
corpus-dickens|GCX-y32|90270942|6291456|0.487337000000000|23876198|6291456|0.023066000000000|6879710|10192446
corpus-dickens|GCX-y64|90532462|6291456|0.468796000000000|25035597|6291456|0.026371000000000|6680094|10192446
corpus-dickens|GCX-y128|90533531|6291456|0.435296000000000|25035708|6291456|0.027256000000000|6680115|10192446
corpus-dickens|GC2|142699260|6291456|0.315514000000000|50068328|6291456|0.083842000000000|9297792|10192446
corpus-dickens|GC4|132761952|6291456|0.251111000000000|28120656|6291456|0.032819000000000|7735152|10192446
corpus-dickens|GC8|132391824|6291456|0.229965000000000|24034744|6291456|0.020562000000000|8745544|10192446
corpus-dickens|GC16|134877828|6291456|0.260150000000000|24521744|6291456|0.018612000000000|11780512|10192446
corpus-dickens|GC32|133751396|6291456|0.236755000000000|22449756|6291456|0.014968000000000|10982364|10192446
corpus-dickens|GC64|133131172|6291456|0.172509000000000|21398716|6291456|0.017656000000000|10566204|10192446
corpus-dickens|GC128|132820388|6291456|0.201063000000000|20896852|6291456|0.011222000000000|10370260|10192446
corpus-dickens|GCIS-ef|73027188|6291456|0.4489|72091486|6291456|0.2058|6974854|10192446
corpus-dickens|PlainSlp_32Fblc|124309336|3544|3.265885|1348416|4576|0.100293|20722769|10192446
corpus-dickens|7zip|0|0|3.2183|0|0|0.0824|2831385|10192446
corpus-dickens|bzip2|7532469|6291456|0.5085|3678589|6291456|0.2235|2799520|10192446
