file|algorithm|peak|stack|time|substring_size
corpus-dickens|GCX-y2|15963461|6291456|0.000695258000000|1
corpus-dickens|GCX-y4|8211765|6291456|0.000688627000000|1
corpus-dickens|GCX-y8|7350215|6291456|0.000814836000000|1
corpus-dickens|GCX-y16|8197966|6291456|0.000711385000000|1
corpus-dickens|GCX-y32|7549831|6291456|0.001072691000000|1
corpus-dickens|GCX-y64|7350215|6291456|0.000903181000000|1
corpus-dickens|GCX-y128|7350236|6291456|0.000772160000000|1
corpus-dickens|GC2|9968249|6291456|0.002299775000000|1
corpus-dickens|GC4|8405417|6291456|0.002002941000000|1
corpus-dickens|GC8|9415713|6291456|0.001261944000000|1
corpus-dickens|GC16|12450681|6291456|0.001497470000000|1
corpus-dickens|GC32|11652485|6291456|0.001066232000000|1
corpus-dickens|GC64|11236325|6291456|0.000675366000000|1
corpus-dickens|GC128|11040381|6291456|0.001156814000000|1
corpus-dickens|GCIS-ef|8014420|6291456|0.0241|1
corpus-dickens|PlainSlp_32Fblc|15124806|0|0.0040|1
corpus-dickens|GCX-y2|15963461|6291456|0.000858330000000|10
corpus-dickens|GCX-y4|8211765|6291456|0.001733717000000|10
corpus-dickens|GCX-y8|7350215|6291456|0.001146770000000|10
corpus-dickens|GCX-y16|8197966|6291456|0.000909777000000|10
corpus-dickens|GCX-y32|7549831|6291456|0.001192685000000|10
corpus-dickens|GCX-y64|7350215|6291456|0.000829423000000|10
corpus-dickens|GCX-y128|7350236|6291456|0.000861006000000|10
corpus-dickens|GC2|9968249|6291456|0.002361666000000|10
corpus-dickens|GC4|8405417|6291456|0.001318652000000|10
corpus-dickens|GC8|9415713|6291456|0.001539860000000|10
corpus-dickens|GC16|12450681|6291456|0.001128752000000|10
corpus-dickens|GC32|11652485|6291456|0.001333849000000|10
corpus-dickens|GC64|11236325|6291456|0.001245215000000|10
corpus-dickens|GC128|11040381|6291456|0.000739525000000|10
corpus-dickens|GCIS-ef|8014420|6291456|0.0409|10
corpus-dickens|PlainSlp_32Fblc|15124809|0|0.0064|10
corpus-dickens|GCX-y2|15963461|6291456|0.004147513000000|100
corpus-dickens|GCX-y4|8211765|6291456|0.004696166000000|100
corpus-dickens|GCX-y8|7350215|6291456|0.003972191000000|100
corpus-dickens|GCX-y16|8197966|6291456|0.002492337000000|100
corpus-dickens|GCX-y32|7549831|6291456|0.002457050000000|100
corpus-dickens|GCX-y64|7350215|6291456|0.003437004000000|100
corpus-dickens|GCX-y128|7350236|6291456|0.003454283000000|100
corpus-dickens|GC2|9968249|6291456|0.007987145000000|100
corpus-dickens|GC4|8405417|6291456|0.003522553000000|100
corpus-dickens|GC8|9415713|6291456|0.003256240000000|100
corpus-dickens|GC16|12450681|6291456|0.002344594000000|100
corpus-dickens|GC32|11652485|6291456|0.001913534000000|100
corpus-dickens|GC64|11236325|6291456|0.003316086000000|100
corpus-dickens|GC128|11040381|6291456|0.002185897000000|100
corpus-dickens|GCIS-ef|8014420|6291456|0.1925|100
corpus-dickens|PlainSlp_32Fblc|15124812|0|0.0143|100
corpus-dickens|GCX-y2|15963461|6291456|0.023266676000000|1000
corpus-dickens|GCX-y4|8211765|6291456|0.038350836000000|1000
corpus-dickens|GCX-y8|7350215|6291456|0.020658582000000|1000
corpus-dickens|GCX-y16|8197966|6291456|0.016553853000000|1000
corpus-dickens|GCX-y32|7549831|6291456|0.018675090000000|1000
corpus-dickens|GCX-y64|7350215|6291456|0.020485349000000|1000
corpus-dickens|GCX-y128|7350236|6291456|0.019648547000000|1000
corpus-dickens|GC2|9968249|6291456|0.064764199000000|1000
corpus-dickens|GC4|8405417|6291456|0.024140273000000|1000
corpus-dickens|GC8|9415713|6291456|0.015757872000000|1000
corpus-dickens|GC16|12450681|6291456|0.015767284000000|1000
corpus-dickens|GC32|11652485|6291456|0.010684874000000|1000
corpus-dickens|GC64|11236325|6291456|0.018701236000000|1000
corpus-dickens|GC128|11040381|6291456|0.010364199000000|1000
corpus-dickens|GCIS-ef|8014420|6291456|1.6896|1000
corpus-dickens|PlainSlp_32Fblc|15124815|0|0.0921|1000
corpus-dickens|GCX-y2|15963461|6291456|0.216217889000000|10000
corpus-dickens|GCX-y4|8211765|6291456|0.369415164000000|10000
corpus-dickens|GCX-y8|7350215|6291456|0.190815938000000|10000
corpus-dickens|GCX-y16|8197966|6291456|0.158468275000000|10000
corpus-dickens|GCX-y32|7549831|6291456|0.168360261000000|10000
corpus-dickens|GCX-y64|7350215|6291456|0.190155973000000|10000
corpus-dickens|GCX-y128|7350236|6291456|0.190787482000000|10000
corpus-dickens|GC2|9968249|6291456|0.525634917000000|10000
corpus-dickens|GC4|8405417|6291456|0.191478709000000|10000
corpus-dickens|GC8|9415713|6291456|0.139295874000000|10000
corpus-dickens|GC16|12450681|6291456|0.107661343000000|10000
corpus-dickens|GC32|11652485|6291456|0.103272616000000|10000
corpus-dickens|GC64|11236325|6291456|0.090091380000000|10000
corpus-dickens|GC128|11040381|6291456|0.086577699000000|10000
corpus-dickens|GCIS-ef|8014420|6291456|16.3039|10000
corpus-dickens|PlainSlp_32Fblc|15124818|0|0.8060|10000
