file|algorithm|peak|stack|time|substring_size
corpus-howto|GCX-y2|64751207|6291456|0.001317325000000|1
corpus-howto|GCX-y4|32964049|6291456|0.001682562000000|1
corpus-howto|GCX-y8|28754721|6291456|0.002053312000000|1
corpus-howto|GCX-y16|30066655|6291456|0.001607550000000|1
corpus-howto|GCX-y32|30066655|6291456|0.002424996000000|1
corpus-howto|GCX-y64|30066655|6291456|0.001718465000000|1
corpus-howto|GCX-y128|30066679|6291456|0.002490834000000|1
corpus-howto|GC2|37847555|6291456|0.007266899000000|1
corpus-howto|GC4|33223317|6291456|0.003691887000000|1
corpus-howto|GC8|32533949|6291456|0.002985355000000|1
corpus-howto|GC16|43160305|6291456|0.002837277000000|1
corpus-howto|GC32|42211209|6291456|0.003890650000000|1
corpus-howto|GC64|41297765|6291456|0.002101375000000|1
corpus-howto|GC128|40782533|6291456|0.001707169000000|1
corpus-howto|GCIS-ef|25208552|6291456|0.0311|1
corpus-howto|PlainSlp_32Fblc|47791031|0|0.0116|1
corpus-howto|GCX-y2|64751207|6291456|0.001445579000000|10
corpus-howto|GCX-y4|32964049|6291456|0.001576521000000|10
corpus-howto|GCX-y8|28754721|6291456|0.002132554000000|10
corpus-howto|GCX-y16|30066655|6291456|0.001367197000000|10
corpus-howto|GCX-y32|30066655|6291456|0.003306505000000|10
corpus-howto|GCX-y64|30066655|6291456|0.003013572000000|10
corpus-howto|GCX-y128|30066679|6291456|0.002655676000000|10
corpus-howto|GC2|37847555|6291456|0.008552096000000|10
corpus-howto|GC4|33223317|6291456|0.004759289000000|10
corpus-howto|GC8|32533949|6291456|0.003348070000000|10
corpus-howto|GC16|43160305|6291456|0.002505776000000|10
corpus-howto|GC32|42211209|6291456|0.002544629000000|10
corpus-howto|GC64|41297765|6291456|0.001946419000000|10
corpus-howto|GC128|40782533|6291456|0.001592549000000|10
corpus-howto|GCIS-ef|25208552|6291456|0.0481|10
corpus-howto|PlainSlp_32Fblc|47791034|0|0.0125|10
corpus-howto|GCX-y2|64751207|6291456|0.004338777000000|100
corpus-howto|GCX-y4|32964049|6291456|0.006996217000000|100
corpus-howto|GCX-y8|28754721|6291456|0.009170472000000|100
corpus-howto|GCX-y16|30066655|6291456|0.005929424000000|100
corpus-howto|GCX-y32|30066655|6291456|0.007873347000000|100
corpus-howto|GCX-y64|30066655|6291456|0.005855675000000|100
corpus-howto|GCX-y128|30066679|6291456|0.006158185000000|100
corpus-howto|GC2|37847555|6291456|0.017346055000000|100
corpus-howto|GC4|33223317|6291456|0.008122188000000|100
corpus-howto|GC8|32533949|6291456|0.010967603000000|100
corpus-howto|GC16|43160305|6291456|0.006328253000000|100
corpus-howto|GC32|42211209|6291456|0.005735090000000|100
corpus-howto|GC64|41297765|6291456|0.004088143000000|100
corpus-howto|GC128|40782533|6291456|0.003849013000000|100
corpus-howto|GCIS-ef|25208552|6291456|0.1932|100
corpus-howto|PlainSlp_32Fblc|47791037|0|0.0212|100
corpus-howto|GCX-y2|64751207|6291456|0.025565079000000|1000
corpus-howto|GCX-y4|32964049|6291456|0.041267716000000|1000
corpus-howto|GCX-y8|28754721|6291456|0.034385945000000|1000
corpus-howto|GCX-y16|30066655|6291456|0.031622694000000|1000
corpus-howto|GCX-y32|30066655|6291456|0.043533732000000|1000
corpus-howto|GCX-y64|30066655|6291456|0.034087939000000|1000
corpus-howto|GCX-y128|30066679|6291456|0.038068061000000|1000
corpus-howto|GC2|37847555|6291456|0.105129553000000|1000
corpus-howto|GC4|33223317|6291456|0.045714080000000|1000
corpus-howto|GC8|32533949|6291456|0.037256799000000|1000
corpus-howto|GC16|43160305|6291456|0.038752582000000|1000
corpus-howto|GC32|42211209|6291456|0.029300428000000|1000
corpus-howto|GC64|41297765|6291456|0.021964941000000|1000
corpus-howto|GC128|40782533|6291456|0.016451470000000|1000
corpus-howto|GCIS-ef|25208552|6291456|1.5365|1000
corpus-howto|PlainSlp_32Fblc|47791040|0|0.1089|1000
corpus-howto|GCX-y2|64751207|6291456|0.218766633000000|10000
corpus-howto|GCX-y4|32964049|6291456|0.383733809000000|10000
corpus-howto|GCX-y8|28754721|6291456|0.272936821000000|10000
corpus-howto|GCX-y16|30066655|6291456|0.233767680000000|10000
corpus-howto|GCX-y32|30066655|6291456|0.247109942000000|10000
corpus-howto|GCX-y64|30066655|6291456|0.255461345000000|10000
corpus-howto|GCX-y128|30066679|6291456|0.240811830000000|10000
corpus-howto|GC2|37847555|6291456|0.960047216000000|10000
corpus-howto|GC4|33223317|6291456|0.379736945000000|10000
corpus-howto|GC8|32533949|6291456|0.281017934000000|10000
corpus-howto|GC16|43160305|6291456|0.270761068000000|10000
corpus-howto|GC32|42211209|6291456|0.222426082000000|10000
corpus-howto|GC64|41297765|6291456|0.187402567000000|10000
corpus-howto|GC128|40782533|6291456|0.130266417000000|10000
corpus-howto|GCIS-ef|25208552|6291456|14.8547|10000
corpus-howto|PlainSlp_32Fblc|47791043|0|0.8606|10000
