file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
corpus-nci|GCX-y2|335540534|6291456|0.772924000000000|153098272|6291456|0.086491000000000|52428934|33553445
corpus-nci|GCX-y4|335540576|6291456|1.275868000000000|159515848|6291456|0.165623000000000|25297560|33553445
corpus-nci|GCX-y8|295750934|6291456|1.565322000000000|68364902|6291456|0.106192000000000|7959542|33553445
corpus-nci|GCX-y16|286798132|6291456|1.684996000000000|58582284|6291456|0.072139000000000|8242956|33553445
corpus-nci|GCX-y32|282020828|6291456|1.839964000000000|52668196|6291456|0.046193000000000|10717068|33553445
corpus-nci|GCX-y64|284191834|6291456|1.799898000000000|52197290|6291456|0.051604000000000|14160602|33553445
corpus-nci|GCX-y128|286235528|6291456|1.872775000000000|53747464|6291456|0.051494000000000|16455376|33553445
corpus-nci|GC2|469750206|6291456|0.864918000000000|143104658|6291456|0.263041000000000|8890034|33553445
corpus-nci|GC4|436385376|6291456|0.753952000000000|75823312|6291456|0.111600000000000|8715808|33553445
corpus-nci|GC8|421007652|6291456|0.833567000000000|61138644|6291456|0.070112000000000|10807956|33553445
corpus-nci|GC16|416230212|6291456|0.888356000000000|52673904|6291456|0.053691000000000|10731392|33553445
corpus-nci|GC32|419078276|6291456|0.968379000000000|52679384|6291456|0.049478000000000|14930216|33553445
corpus-nci|GC64|430862692|6291456|0.938257000000000|63100124|6291456|0.060063000000000|27448156|33553445
corpus-nci|GC128|436036516|6291456|0.985008000000000|67573276|6291456|0.049769000000000|32969884|33553445
corpus-nci|GCIS-ef|187600470|6291456|1.0249|212439985|6291456|0.2147|4698347|33553445
corpus-nci|PlainSlp_32Fblc|403854204|3496|3.938501|1555296|7968|0.196507|13064329|33553445
corpus-nci|7zip|0|0|3.4217|0|0|0.1006|1965682|33553445
corpus-nci|bzip2|7532461|6291456|2.7954|3678581|6291456|0.4343|1812734|33553445
