file|algorithm|peak|stack|time|substring_size
dna-dna|GCX-y2|732789419|6291456|0.002138200000000|1
dna-dna|GCX-y4|354110755|6291456|0.001802774000000|1
dna-dna|GCX-y8|150826683|6291456|0.002729146000000|1
dna-dna|GCX-y16|153255726|6291456|0.003352709000000|1
dna-dna|GCX-y32|223285505|6291456|0.004340341000000|1
dna-dna|GCX-y64|223285505|6291456|0.003746070000000|1
dna-dna|GCX-y128|153255726|6291456|0.003473878000000|1
dna-dna|GC2|251899951|6291456|0.008662228000000|1
dna-dna|GC4|237285781|6291456|0.006106222000000|1
dna-dna|GC8|135477345|6291456|0.003648351000000|1
dna-dna|GC16|435442481|6291456|0.004459858000000|1
dna-dna|GC32|431808413|6291456|0.003615509000000|1
dna-dna|GC64|422476861|6291456|0.003226699000000|1
dna-dna|GC128|413623677|6291456|0.002956694000000|1
dna-dna|GCIS-ef|228575388|6291456|0.0603|1
dna-dna|PlainSlp_32Fblc|495689658|0|0.0620|1
dna-dna|GCX-y2|732789419|6291456|0.002206243000000|10
dna-dna|GCX-y4|354110755|6291456|0.002374056000000|10
dna-dna|GCX-y8|150826683|6291456|0.002914537000000|10
dna-dna|GCX-y16|153255726|6291456|0.003823579000000|10
dna-dna|GCX-y32|223285505|6291456|0.004083246000000|10
dna-dna|GCX-y64|223285505|6291456|0.004114163000000|10
dna-dna|GCX-y128|153255726|6291456|0.003668777000000|10
dna-dna|GC2|251899951|6291456|0.009054104000000|10
dna-dna|GC4|237285781|6291456|0.006009566000000|10
dna-dna|GC8|135477345|6291456|0.003775224000000|10
dna-dna|GC16|435442481|6291456|0.004455099000000|10
dna-dna|GC32|431808413|6291456|0.003664380000000|10
dna-dna|GC64|422476861|6291456|0.003324510000000|10
dna-dna|GC128|413623677|6291456|0.002965476000000|10
dna-dna|GCIS-ef|228575388|6291456|0.0771|10
dna-dna|PlainSlp_32Fblc|495689661|0|0.0599|10
dna-dna|GCX-y2|732789419|6291456|0.005105834000000|100
dna-dna|GCX-y4|354110755|6291456|0.005945912000000|100
dna-dna|GCX-y8|150826683|6291456|0.006227995000000|100
dna-dna|GCX-y16|153255726|6291456|0.008371215000000|100
dna-dna|GCX-y32|223285505|6291456|0.009302949000000|100
dna-dna|GCX-y64|223285505|6291456|0.008980494000000|100
dna-dna|GCX-y128|153255726|6291456|0.008104280000000|100
dna-dna|GC2|251899951|6291456|0.017482924000000|100
dna-dna|GC4|237285781|6291456|0.011030511000000|100
dna-dna|GC8|135477345|6291456|0.005810481000000|100
dna-dna|GC16|435442481|6291456|0.008184908000000|100
dna-dna|GC32|431808413|6291456|0.007428415000000|100
dna-dna|GC64|422476861|6291456|0.005755948000000|100
dna-dna|GC128|413623677|6291456|0.005608017000000|100
dna-dna|GCIS-ef|228575388|6291456|0.2658|100
dna-dna|PlainSlp_32Fblc|495689664|0|0.0746|100
dna-dna|GCX-y2|732789419|6291456|0.025845205000000|1000
dna-dna|GCX-y4|354110755|6291456|0.031568157000000|1000
dna-dna|GCX-y8|150826683|6291456|0.032920419000000|1000
dna-dna|GCX-y16|153255726|6291456|0.043148860000000|1000
dna-dna|GCX-y32|223285505|6291456|0.060882115000000|1000
dna-dna|GCX-y64|223285505|6291456|0.060419973000000|1000
dna-dna|GCX-y128|153255726|6291456|0.046764702000000|1000
dna-dna|GC2|251899951|6291456|0.119747473000000|1000
dna-dna|GC4|237285781|6291456|0.069107770000000|1000
dna-dna|GC8|135477345|6291456|0.031899461000000|1000
dna-dna|GC16|435442481|6291456|0.053965119000000|1000
dna-dna|GC32|431808413|6291456|0.043368011000000|1000
dna-dna|GC64|422476861|6291456|0.029019325000000|1000
dna-dna|GC128|413623677|6291456|0.020471449000000|1000
dna-dna|GCIS-ef|228575388|6291456|1.8537|1000
dna-dna|PlainSlp_32Fblc|495689667|0|0.1678|1000
dna-dna|GCX-y2|732789419|6291456|0.219782959000000|10000
dna-dna|GCX-y4|354110755|6291456|0.351784965000000|10000
dna-dna|GCX-y8|150826683|6291456|0.367793333000000|10000
dna-dna|GCX-y16|153255726|6291456|0.361748506000000|10000
dna-dna|GCX-y32|223285505|6291456|0.556175233000000|10000
dna-dna|GCX-y64|223285505|6291456|0.534859651000000|10000
dna-dna|GCX-y128|153255726|6291456|0.360896703000000|10000
dna-dna|GC2|251899951|6291456|1.106269214000000|10000
dna-dna|GC4|237285781|6291456|0.640504257000000|10000
dna-dna|GC8|135477345|6291456|0.291138672000000|10000
dna-dna|GC16|435442481|6291456|0.473798033000000|10000
dna-dna|GC32|431808413|6291456|0.418341215000000|10000
dna-dna|GC64|422476861|6291456|0.262362236000000|10000
dna-dna|GC128|413623677|6291456|0.172751469000000|10000
dna-dna|GCIS-ef|228575388|6291456|16.9991|10000
dna-dna|PlainSlp_32Fblc|495689670|0|1.1586|10000
